ID,Label,Type
K10plus_150965478,"Résolution de leurs Hautes Puissances. Memoire & Documents Servant a montrer, que c'est a tort que les Estats Generaux des Provinces Unies  (1712)",Buch
Scheltus,Scheltus,Druckende_Verlegende
[s'Gravenhage],[s'Gravenhage],Ort
VD18_10221069-004,"Alethophili Sendschreiben an Herrn M. R. O. Von unterschiedlichen Etliche Jahre her vorgegebenen Neuen Propheten und Prophezeyungen. Worinne (1712)",Buch
gnd_1055513329,"Kaiser, Johann",Person
Cölln,Cölln,Ort
K10plus_150381794,"Tratté de l'amour de Dieu (1712)",Buch
gnd_1055323457,"Saurin, Élie",Person
Roger,Roger,Druckende_Verlegende
Amsterdam,Amsterdam,Ort
K10plus_14765842X,"Memoires Anecdotes De La Cour Et Du Clergé De France. Avec L'Histoire du Différend du Cardinal de Noailles ; avec les Evêques de Luc̜on  (1712)",Buch
gnd_1055469648,"Denis, Jean Baptiste",Person
Londres,Londres,Ort
VD18_11405236-001,"Leben und Thaten Iosephi I. Römischen Käysers, sambt der unter Sr. Maiestät .. Regierung vorgefallenen Reichs-Historie. Alles mit behöri (1712)",Buch
gnd_117014931,"Zschackwitz, Johann Ehrenfried",Person
Gleditsch,Gleditsch,Druckende_Verlegende
Weidmann,Weidmann,Druckende_Verlegende
Leipzig,Leipzig,Ort
Leipzig,Leipzig,Ort
K10plus_829182470,"La Communion Sainte, Ou Traité sur la nécessité & les moyens de communier dignement (1711)",Buch
gnd_120538253,"Basnage de Beauval, Jacques",Person
Acher,Acher,Druckende_Verlegende
Rotterdam,Rotterdam,Ort
K10plus_360588395,"L'Espion Dans Les Cours Des Princes Chrétiens, Ou Lettres Et Memoires d'un Envoyé secret de la Porte dans les Cours de l'Europe.̤ T. 2 (1711)",Buch
gnd_119080370,"Marana, Giovanni Paolo",Person
Kinkius,Kinkius,Druckende_Verlegende
Cologne,Cologne,Ort
K10plus_243633238,"Les Campagnes de Charles XII. Roi de Suède T. 4 (1711)",Buch
gnd_100144489,"Grimarest, Jean-Léonor le Gallois",Person
"De Voys","De Voys",Druckende_Verlegende
LaHaye,LaHaye,Ort
K10plus_236485989,"L'espion dans les cours des princes chrétiens, ou lettres et memoires d'un Envoyé secret de la Porte dans les Cours de l'Europe T. 6 (1711)",Buch
gnd_119080370,"Marana, Giovanni Paolo",Person
Kenkus,Kenkus,Druckende_Verlegende
Cologne,Cologne,Ort
K10plus_236483579,"L'espion dans les cours des princes chrétiens, ou lettres et memoires d'un Envoyé secret de la Porte dans les Cours de l'Europe T. 1 (1711)",Buch
gnd_119080370,"Marana, Giovanni Paolo",Person
Kenkus,Kenkus,Druckende_Verlegende
Cologne,Cologne,Ort
VD18_10453261,"Send-Schreiben an einen S. Theologum, Jn welchem die 50. Motiven/ dadurch eine Erlauchte Person zum Abtritte von der Evangelisch-Lutherische (1711)",Buch
gnd_117653713,"Schwedler, Johann Christoph",Person
gnd_116912731,"Günther, Johann",Person
Braun,Braun,Druckende_Verlegende
Leipzig,Leipzig,Ort
Streitschrift:theol.,Streitschrift:theol.,Inhalt_Gattung
K10plus_215076435,"Le grand Scanderberg. Nouvelle (1711)",Buch
gnd_119462222,"La Roche-Guilhem, Anne",Person
Swart,Swart,Druckende_Verlegende
"La Haye","La Haye",Ort
K10plus_186712855,"L'espion dans les cours des princes chrétiens, ou lettres et mémoires d'un Envoyé secret de la Porte dans les Cours de l'Europe T. 5 (1711)",Buch
gnd_119080370,"Marana, Giovanni Paolo",Person
Kinkius,Kinkius,Druckende_Verlegende
Cologne,Cologne,Ort
K10plus_186712839,"L'espion dans les cours des princes chrétiens, ou lettres et mémoires d'un Envoyé secret de la Porte dans les Cours de l'Europe T. 4 (1711)",Buch
gnd_119080370,"Marana, Giovanni Paolo",Person
Kinkius,Kinkius,Druckende_Verlegende
Cologne,Cologne,Ort
K10plus_186712804,"L'espion dans les cours des princes chrétiens, ou lettres et mémoires d'un Envoyé secret de la Porte dans les Cours de l'Europe T. 3 (1711)",Buch
gnd_119080370,"Marana, Giovanni Paolo",Person
Kinkius,Kinkius,Druckende_Verlegende
Cologne,Cologne,Ort
K10plus_151704813,"Les Oeuvres (1711)",Buch
gnd_118677284,"Crébillon, Prosper Jolyot",Person
Johnson,Johnson,Druckende_Verlegende
"La Haye","La Haye",Ort
K10plus_151681449,"Le nouveau Gentilhomme bourgeois ou les fées à la mode (1711)",Buch
gnd_118808788,"Aulnoy, Marie Catherine Le Jumel de Barneville",Person
Roger,Roger,Druckende_Verlegende
Amsterdam,Amsterdam,Ort
VD18_12838306,"Heilsahme Seelen-Artzeney. Bey dem letztern Krancken- und bey nahe Tod-Bette, Des Durchl. Fürsten und Herrn, Herrn Ludewig Rudolphs, Hertzo (1711)",Buch
gnd_12131412X,"Finen, Eberhard",Person
gnd_138517894,"Zilliger, Johann Georg",Person
gnd_124700470,"Ludwig Rudolf Braunschweig-Lüneburg, Herzog",Person
"Gedruckt und Verlegt bey J. Georg Zilligern, Hochf. privil. Hof-Buchdr.","Gedruckt und Verlegt bey J. Georg Zilligern, Hochf. privil. Hof-Buchdr.",Druckende_Verlegende
gnd_4008065-1,Braunschweig,Ort
Erbauungsliteratur,Erbauungsliteratur,Inhalt_Gattung
K10plus_150881991,"[Satirae] (1711)",Buch
gnd_118556126,"Iuvenalis, Decimus Iunius",Person
gnd_1012625001,"Silvestri, Camillo",Person
"^[Drucker:] Stamperia del Seminario","^[Drucker:] Stamperia del Seminario",Druckende_Verlegende
Padova,Padova,Ort
K10plus_150600720,"L'Histoire [et la religion] des Juifs, réclamée et retablie par son véritable auteur Basnage, contre l'édition anonyme et tronquée, qui (1711)",Buch
gnd_120538253,"Basnage de Beauval, Jacques",Person
"Fritsch & Böhm","Fritsch & Böhm",Druckende_Verlegende
Rotterdam,Rotterdam,Ort
K10plus_150346719,"L'Amant Oisif. Contenant Cinquante Nouvelles Espagnoles. Divisé En Trois Parties (1711)",Buch
gnd_100140858,"Riflé de Garouville, Savinien",Person
Backer,Backer,Druckende_Verlegende
Brusselles,Brusselles,Ort
K10plus_150342829,"État Ancien Et Moderne Des Duchés De Florence, Modene, Mantoue, & Parme. Avec l'Histoire Anecdote des Intrigues des Cours de leurs dernier (1711)",Buch
gnd_128597771,"Freschot, Casimir",Person
"Vitriarius, Jean Jacques","Vitriarius, Jean Jacques",Person
Broedelet,Broedelet,Druckende_Verlegende
Poolsum,Poolsum,Druckende_Verlegende
Utrecht,Utrecht,Ort
Utrecht,Utrecht,Ort
VD18_12955116,"Curioser Staats-Discurs Nebst Einiger politischen Erleuterung über von Ihrer Königl. Majestät Von Groß-Britannien, [et]c. [et]c. An das  (1710)",Buch
[S.l.],[S.l.],Ort
Gelegenheitsschrift,Gelegenheitsschrift,Inhalt_Gattung
K10plus_151586829,"Les Pensées ingénieuses ou les Épigrammes d'Owen (1710)",Buch
gnd_118787446,"Owen, John",Person
gnd_172224861,"LeBrun, Antoine Louis",Person
Ribou,Ribou,Druckende_Verlegende
Paris,Paris,Ort
VD18_12838292,"Eberhard Finens Erbauliche Reden über die Paßions-Geschicht/ und andere Sprüche Heiliger Schrifft Wie auch Einige Stücke des Catechismi. (1710)",Buch
gnd_12131412X,"Finen, Eberhard",Person
Zilliger,Zilliger,Druckende_Verlegende
Braunschweig,Braunschweig,Ort
K10plus_150789556,"Histoire politique et amoureuse du Cardinal Louis ^[Louis ^Manuel] Portocarrero Archevêque de Toledo (1710)",Buch
LeSincere,LeSincere,Druckende_Verlegende
o.O.,o.O.,Ort
VD18_10222405-009,"Unvorgreiffliche Gedancken eines schwedischen Unterthanen über das jüngst heraus gegebene Dänische Manifest, so hiebey mit angedruckt (1710)",Buch
gnd_116021675,"Palthen, Johann Philipp",Person
[S.l.],[S.l.],Ort
K10plus_146978870,"Considération sur l'éternité (1710)",Buch
gnd_12232319X,"Abelly, Louis",Person
