Source,Target,property,Date
beacon_ddb,gnd_124677320,contains,2021
beacon_kall,gnd_124677320,contains,2021
beacon_vd16,gnd_124677320,contains,2021
gnd_136285422,K10plus_190912367,contributor,1630
beacon_ddb,gnd_136285422,contains,2021
beacon_db,gnd_136285422,contains,2021
beacon_blko,gnd_136285422,contains,2021
beacon_kall,gnd_136285422,contains,2021
beacon_cors,gnd_136285422,contains,2021
"Richelieu, Armandus Joannes",K10plus_190912367,contributor,1630
Cramoisy,K10plus_190912367,publisher,1630
"Lutetiae Parisiorum",K10plus_190912367,place,1630
Ordensliteratur:Jesuiten,K10plus_190912367,subject,1630
gnd_124700470,K10plus_513708979,owner,"1701, 1707"
gnd_118753959,K10plus_513708979,creator,1625
beacon_ddb,gnd_118753959,contains,2021
beacon_wkp,gnd_118753959,contains,2021
beacon_kall,gnd_118753959,contains,2021
beacon_dpi,gnd_118753959,contains,2021
gnd_122970470,K10plus_513708979,contributor,1625
beacon_ddb,gnd_122970470,contains,2021
beacon_wkp,gnd_122970470,contains,2021
beacon_dbi,gnd_122970470,contains,2021
beacon_apw,gnd_122970470,contains,2021
beacon_sandrart,gnd_122970470,contains,2021
beacon_muenz,gnd_122970470,contains,2021
beacon_dpi,gnd_122970470,contains,2021
beacon_vkk,gnd_122970470,contains,2021
beacon_gpd,gnd_122970470,contains,2021
Sarzina,K10plus_513708979,publisher,1625
Venetia,K10plus_513708979,place,1625
Verserzählung,K10plus_513708979,subject,1625
gnd_124700470,K10plus_151756309,owner,"1701, 1707"
"Aubrius & Schleich",K10plus_151756309,publisher,1622
[Basel],K10plus_151756309,place,1622
gnd_124700470,K10plus_394766091,owner,"1701, 1707"
gnd_118620452,K10plus_394766091,creator,1609
beacon_ddb,gnd_118620452,contains,2021
beacon_apd,gnd_118620452,contains,2021
beacon_wkp,gnd_118620452,contains,2021
beacon_hls,gnd_118620452,contains,2021
beacon_sandrart,gnd_118620452,contains,2021
beacon_kall,gnd_118620452,contains,2021
beacon_berlin1800,gnd_118620452,contains,2021
beacon_humbdig,gnd_118620452,contains,2021
beacon_dpi,gnd_118620452,contains,2021
beacon_vkk,gnd_118620452,contains,2021
beacon_bach,gnd_118620452,contains,2021
beacon_vd16,gnd_118620452,contains,2021
beacon_jdg,gnd_118620452,contains,2021
gnd_100010423,K10plus_394766091,contributor,1609
beacon_ddb,gnd_100010423,contains,2021
beacon_apd,gnd_100010423,contains,2021
beacon_wkp,gnd_100010423,contains,2021
beacon_db,gnd_100010423,contains,2021
beacon_kall,gnd_100010423,contains,2021
beacon_cors,gnd_100010423,contains,2021
beacon_dpi,gnd_100010423,contains,2021
beacon_vd16,gnd_100010423,contains,2021
beacon_jdg,gnd_100010423,contains,2021
Forster,K10plus_394766091,publisher,1609
Ambergae,K10plus_394766091,place,1609
gnd_124700470,K10plus_567283895,owner,"1701, 1707"
gnd_116218363,K10plus_567283895,creator,1582
beacon_ddb,gnd_116218363,contains,2021
beacon_wkp,gnd_116218363,contains,2021
beacon_db,gnd_116218363,contains,2021
beacon_saebi,gnd_116218363,contains,2021
beacon_mav,gnd_116218363,contains,2021
beacon_gesa,gnd_116218363,contains,2021
beacon_kall,gnd_116218363,contains,2021
beacon_dpi,gnd_116218363,contains,2021
beacon_vd16,gnd_116218363,contains,2021
beacon_jdg,gnd_116218363,contains,2021
"Gronenberg, Simon",K10plus_567283895,publisher,1582
Wittenberg,K10plus_567283895,place,1582
Rede,K10plus_567283895,subject,1582
gnd_124700470,K10plus_223457167,owner,"1701, 1707"
gnd_118585517,K10plus_223457167,creator,1572
beacon_ddb,gnd_118585517,contains,2021
beacon_apd,gnd_118585517,contains,2021
beacon_wkp,gnd_118585517,contains,2021
beacon_db,gnd_118585517,contains,2021
beacon_hls,gnd_118585517,contains,2021
beacon_rpbio,gnd_118585517,contains,2021
beacon_mav,gnd_118585517,contains,2021
beacon_jen,gnd_118585517,contains,2021
beacon_kall,gnd_118585517,contains,2021
beacon_dpi,gnd_118585517,contains,2021
beacon_vkk,gnd_118585517,contains,2021
beacon_gpa,gnd_118585517,contains,2021
beacon_gpd,gnd_118585517,contains,2021
beacon_vd16,gnd_118585517,contains,2021
beacon_jdg,gnd_118585517,contains,2021
Henricpetri,K10plus_223457167,publisher,1572
Basileae,K10plus_223457167,place,1572
Geographie,K10plus_223457167,subject,1572
gnd_124700470,K10plus_389070084,owner,"1701, 1707"
"Schwenckfeld, Caspar",K10plus_389070084,creator,1547
[s.n.],K10plus_389070084,publisher,1547
Nürnberg,K10plus_389070084,place,1547
