Name,TimeStamp,Latitude,Longitude
Dannenberg,1594-04-10,53.1,11.1
Rostock,1594-04-10,54.0833,12.1333
Doemitz,1594-04-10,53.133333,11.25
Eldena,1594-04-10,53.233333,11.416667
Grabow,1594-04-10,53.266667,12.166667
Parchim,1594-04-10,53.433333,11.85
Guestrow,1594-04-11,53.8,12.166667
Rostock,1594-04-12,54.0833,12.1333
Roevershagen,1594-05-02,54.183333,12.233333
Warnemuende,1594-05-04,54.166667, 12.083333
Parkentin,1594-05-24,54.083333, 11.983333
Petersdorf,1594-06-26,54.216667,12.433333
Ribnitz,1594-08-09,54.25,12.466667
Damgarten,1594-08-09,54.25,12.466667
Barth,1594-08-09,54.366667,12.733333
Franzburg,1594-08-10,54.183333,12.883333
Barth,1594-08-11,54.366667,12.733333
Ribnitz,1594-08-12,54.25,12.466667
Barth,1594-08-12,54.366667,12.733333
Ribnitz,1594-08-13,54.25,12.466667
Rostock,1594-08-14,54.0833,12.1333
Bad_Doberan,1594-08-28,54.1,11.9
Ribnitz,1594-09-09,54.25,12.466667
Barth,1594-09-10,54.366667,12.733333
Rostock,1594-09-11,54.0833,12.1333
Buetzow,1594-09-16,,
Sternberg,1594-09-17,,
Parchim,1594-09-17,53.433333,11.85
Grabow,1594-09-18,53.266667,12.166667
Eldena,1594-09-18,53.233333,11.416667
Guemse,1594-09-18,,
Dannenberg,1594-09-28,53.1,11.1
