Name,Latitude,Longitude
Bad_Langenbruecken,49.199722,8.644167
Bad_Langensalza,51.1,10.65
Bad_Lauterberg,51.6333,10.4667
Bad_Lippspringe,51.783333,8.816667
Bad_Salzungen,50.816667,10.233333
Bad_Soden-Salmuenster,50.283333,9.366667
Bad_Sooden-Allendorf,51.283333,9.983333
Bad_Tennstedt,51.15,10.833333
Bad_Vilbel,50.183333,8.75
Baden-Baden,48.75,8.25
Bagnara_Calabra,38.283333,15.8
Baierbrunn,48.016667,11.483333
Baiersdorf,49.66,11.030278
Bamberg,47.85,10.016667
Bankewitz,53.033333,10.8
Bar_le_Duc,48.772749,5.161085
Barcino,54.276944,16.962222
Barenburg,52.616667,8.8
Barendorf,53.233333,10.516667
Bargino,43.616667,11.183333
Barkway,52,.016667
Barleben,52.2,11.633333
Barskamp,53.25,10.783333
Barth,54.366667,12.733333
Basilicata,40.5,16.1667
Bassano_del_Grappa,45.766667,11.733333
Bassum,52.85,8.733333
Battaglia_Terme,45.283333,11.783333
Bebenhausen,48.55,9.066667
Beelitz,52.233333,12.966667
Beetzendorf,52.7,11.1
Behringen,51.016667,10.55
Beinheim,48.863265,8.084475
Belgard_Bialogard,54,16
Belgern,51.483333,13.133333
Belmonte_Calabro,39.15,16.083333
Belvedere_Marittimo,39.616667,15.866667
Benediktbeuern,47.7,11.4
Bensheim,49.680278,8.616111
Berck,50.408139,1.577515
Bergamo,45.683333,9.716667
Bergedorf,53.4833,10.2167
Bergen,52.816667,9.966667
Bergen_an_der_Dumme,52.883333,10.966667
Bergheim,47.7,9.416667
Berka,51.35,10.933333
Berlin,52.516667,13.4
Bernau_bei_Berlin,52.6667,13.5833
Bernburg,51.8,11.733333
Bertry,50.08718,3.442982
Besenello,45.933333,11.116667
Besenhorst,53.454716354906445,10.349416136741638
Besse,51.216667,9.383333
Bettenhausen,50.483333,8.833333
Bevern,51.866667,9.5
Biburg,49.033333,11.183333
Bickenbach,49.759167,8.6175
Bienenbuettel,53.133333,10.483333
Bienwald,49.028889,8.136944
Biesenthal,52.766667,13.633333
Bietingheim-Bissingen,48.966667,9.133333
Bispingen,53.083333,10
Bivona,38.7,16.1
Blamont,48.589404,6.843859
Blankenburg,53.216667,13.933333
Bleckede,53.3,10.733333
Blumau,46.5,11.45
