id;label;type
schwarzburg-sondershausen_auguste_dorothea;schwarzburg-sondershausen_auguste_dorothea;person
hohenlohe-oehringen_sophia_eleonora;hohenlohe-oehringen_sophia_eleonora;person
oettingen-oettingen_albrecht_ernst_ii;oettingen-oettingen_albrecht_ernst_ii;person
braunschweig-wolfenbuettel_elisabeth_juliane;braunschweig-wolfenbuettel_elisabeth_juliane;person
molière_jean-baptiste_poquelin;molière_jean-baptiste_poquelin;person
bressand_friedrich_christian;bressand_friedrich_christian;person
braunschweig-wolfenbuettel_elisabeth_juliane;braunschweig-wolfenbuettel_elisabeth_juliane;person
heron_charles-francois;heron_charles-francois;person
oettingen-oettingen_albrecht_ernst_ii;oettingen-oettingen_albrecht_ernst_ii;person
wagner_burchardt;wagner_burchardt;person
heron_charles-francois;heron_charles-francois;person
braunschweig-wolfenbuettel_ludwig_rudolph;braunschweig-wolfenbuettel_ludwig_rudolph;person
braunschweig-wolfenbuettel_elisabeth_juliane;braunschweig-wolfenbuettel_elisabeth_juliane;person
oettingen-oettingen_albrecht_ernst_ii;oettingen-oettingen_albrecht_ernst_ii;person
oettingen-oettingen_sophie_luise;oettingen-oettingen_sophie_luise;person
braunschweig-wolfenbuettel_rudolph_august;braunschweig-wolfenbuettel_rudolph_august;person
braunschweig-wolfenbuettel_ludwig_rudolph;braunschweig-wolfenbuettel_ludwig_rudolph;person
happe_andreas_zacharias;happe_andreas_zacharias;person
oettingen-oettingen_albrecht_ernst_ii;oettingen-oettingen_albrecht_ernst_ii;person
braunschweig-wolfenbuettel_anton_ulrich;braunschweig-wolfenbuettel_anton_ulrich;person
braunschweig-wolfenbuettel_elisabeth_juliane;braunschweig-wolfenbuettel_elisabeth_juliane;person
bose_christoph_dietrich_d_j;bose_christoph_dietrich_d_j;person
braunschweig-wolfenbuettel_sophia_amalia;braunschweig-wolfenbuettel_sophia_amalia;person
heron_charles-francois;heron_charles-francois;person
bose_christoph_dietrich_d_j;bose_christoph_dietrich_d_j;person
steinberg_friedrich;steinberg_friedrich;person
braunschweig-wolfenbuettel_anton_ulrich;braunschweig-wolfenbuettel_anton_ulrich;person
braunschweig-wolfenbuettel_elisabeth_juliane;braunschweig-wolfenbuettel_elisabeth_juliane;person
braunschweig-wolfenbuettel_elisabeth_juliane;braunschweig-wolfenbuettel_elisabeth_juliane;person
hohenlohe-oehringen_sophia_eleonora;hohenlohe-oehringen_sophia_eleonora;person
schwarzburg-sondershausen_auguste_dorothea;schwarzburg-sondershausen_auguste_dorothea;person
braunschweig-wolfenbuettel_ludwig_rudolph;braunschweig-wolfenbuettel_ludwig_rudolph;person
imhoff_sophia_henriette;imhoff_sophia_henriette;person
heron_charles-francois;heron_charles-francois;person
schoening_anon_1;schoening_anon_1;person
wuerttemberg_ludwig;wuerttemberg_ludwig;person
wuerttemberg_maria_dorothea_sophia;wuerttemberg_maria_dorothea_sophia;person
wuerttemberg_maria_dorothea_sophia;wuerttemberg_maria_dorothea_sophia;person
braunschweig-wolfenbuettel_ludwig_rudolph;braunschweig-wolfenbuettel_ludwig_rudolph;person
braunschweig-wolfenbuettel-bevern_august_ferdinand;braunschweig-wolfenbuettel-bevern_august_ferdinand;person
braunschweig-wolfenbuettel_elisabeth_juliane;braunschweig-wolfenbuettel_elisabeth_juliane;person
menthe_rosina_elisabeth;menthe_rosina_elisabeth;person
wolfenbuettel_garten_elisabeth_julianes;wolfenbuettel_garten_elisabeth_julianes;person
braunschweig-wolfenbuettel-bevern_august_ferdinand;braunschweig-wolfenbuettel-bevern_august_ferdinand;person
braunschweig-wolfenbuettel-bevern_august_ferdinand;braunschweig-wolfenbuettel-bevern_august_ferdinand;person
heron_charles-francois;heron_charles-francois;person
braunschweig-wolfenbuettel_ludwig_rudolph;braunschweig-wolfenbuettel_ludwig_rudolph;person
oettingen-oettingen_albrecht_ernst_ii;oettingen-oettingen_albrecht_ernst_ii;person
braunschweig-wolfenbuettel_anton_ulrich;braunschweig-wolfenbuettel_anton_ulrich;person
heron_charles-francois;heron_charles-francois;person
oettingen-oettingen_albrecht_ernst_ii;oettingen-oettingen_albrecht_ernst_ii;person
braunschweig-wolfenbuettel_anton_ulrich;braunschweig-wolfenbuettel_anton_ulrich;person
braunschweig-wolfenbuettel_elisabeth_juliane;braunschweig-wolfenbuettel_elisabeth_juliane;person
braunschweig-wolfenbuettel_elisabeth_juliane;braunschweig-wolfenbuettel_elisabeth_juliane;person
heron_charles-francois;heron_charles-francois;person
oettingen-oettingen_albrecht_ernst_ii;oettingen-oettingen_albrecht_ernst_ii;person
braunschweig-wolfenbuettel_august_wilhelm;braunschweig-wolfenbuettel_august_wilhelm;person
braunschweig-wolfenbuettel_sophia_amalia;braunschweig-wolfenbuettel_sophia_amalia;person
braunschweig-wolfenbuettel_elisabeth_juliane;braunschweig-wolfenbuettel_elisabeth_juliane;person
braunschweig-wolfenbuettel_anton_ulrich;braunschweig-wolfenbuettel_anton_ulrich;person
brandenstein_wilhelm;brandenstein_wilhelm;person
oettingen-oettingen_albrecht_ernst_ii;oettingen-oettingen_albrecht_ernst_ii;person
brandenstein_wilhelm;brandenstein_wilhelm;person
braunschweig-wolfenbuettel_anton_ulrich;braunschweig-wolfenbuettel_anton_ulrich;person
braunschweig-wolfenbuettel_elisabeth_juliane;braunschweig-wolfenbuettel_elisabeth_juliane;person
ostfriesland_friedrich_ulrich;ostfriesland_friedrich_ulrich;person
braunschweig-wolfenbuettel_ludwig_rudolph;braunschweig-wolfenbuettel_ludwig_rudolph;person
braunschweig-wolfenbuettel_august_wilhelm;braunschweig-wolfenbuettel_august_wilhelm;person
braunschweig-wolfenbuettel_sophia_amalia;braunschweig-wolfenbuettel_sophia_amalia;person
braunschweig-wolfenbuettel_anton_ulrich;braunschweig-wolfenbuettel_anton_ulrich;person
heron_charles-francois;heron_charles-francois;person
braunschweig-wolfenbuettel_sophia_amalia;braunschweig-wolfenbuettel_sophia_amalia;person
ostfriesland_friedrich_ulrich;ostfriesland_friedrich_ulrich;person
braunschweig-wolfenbuettel_anton_ulrich;braunschweig-wolfenbuettel_anton_ulrich;person
stubenvoll_hans_christoph;stubenvoll_hans_christoph;person
cramm_anon_1;cramm_anon_1;person
oettingen-oettingen_albrecht_ernst_ii;oettingen-oettingen_albrecht_ernst_ii;person
braunschweig-wolfenbuettel_august_wilhelm;braunschweig-wolfenbuettel_august_wilhelm;person
braunschweig-wolfenbuettel_sophia_amalia;braunschweig-wolfenbuettel_sophia_amalia;person
braunschweig-wolfenbuettel_ludwig_rudolph;braunschweig-wolfenbuettel_ludwig_rudolph;person
braunschweig-wolfenbuettel_anton_ulrich;braunschweig-wolfenbuettel_anton_ulrich;person
heron_charles-francois;heron_charles-francois;person
spoercken_georg_friedrich;spoercken_georg_friedrich;person
braunschweig-wolfenbuettel_ludwig_rudolph;braunschweig-wolfenbuettel_ludwig_rudolph;person
braunschweig-wolfenbuettel_ferdinand_albrecht_ii;braunschweig-wolfenbuettel_ferdinand_albrecht_ii;person
tann_wolf_adam;tann_wolf_adam;person
braunschweig-wolfenbuettel_anton_ulrich;braunschweig-wolfenbuettel_anton_ulrich;person
braunschweig-wolfenbuettel_ludwig_rudolph;braunschweig-wolfenbuettel_ludwig_rudolph;person
ostfriesland_friedrich_ulrich;ostfriesland_friedrich_ulrich;person
oettingen-oettingen_albrecht_ernst_ii;oettingen-oettingen_albrecht_ernst_ii;person
braunschweig-wolfenbuettel_anton_ulrich;braunschweig-wolfenbuettel_anton_ulrich;person
braunschweig-wolfenbuettel_elisabeth_juliane;braunschweig-wolfenbuettel_elisabeth_juliane;person
oettingen-oettingen_albrecht_ernst_ii;oettingen-oettingen_albrecht_ernst_ii;person
braunschweig-wolfenbuettel_ludwig_rudolph;braunschweig-wolfenbuettel_ludwig_rudolph;person
schwarzburg-sondershausen_auguste_dorothea;schwarzburg-sondershausen_auguste_dorothea;person
braunschweig-wolfenbuettel_anton_ulrich;braunschweig-wolfenbuettel_anton_ulrich;person
sachsen-gotha-altenburg_friedrich_ii;sachsen-gotha-altenburg_friedrich_ii;person
hessen-kassel_friedrich;hessen-kassel_friedrich;person
heron_charles-francois;heron_charles-francois;person
mecklenburg-schwerin_friedrich_wilhelm_i;mecklenburg-schwerin_friedrich_wilhelm_i;person
sachsen-gotha-altenburg_friedrich_ii;sachsen-gotha-altenburg_friedrich_ii;person
mecklenburg-schwerin_friedrich_wilhelm_i;mecklenburg-schwerin_friedrich_wilhelm_i;person
hessen-kassel_friedrich;hessen-kassel_friedrich;person
oettingen-oettingen_albrecht_ernst_ii;oettingen-oettingen_albrecht_ernst_ii;person
oettingen-oettingen_sophie_luise;oettingen-oettingen_sophie_luise;person
braunschweig-wolfenbuettel_elisabeth_juliane;braunschweig-wolfenbuettel_elisabeth_juliane;person
heron_charles-francois;heron_charles-francois;person
lothringen_leopold_joseph;lothringen_leopold_joseph;person
lothringen_elisabeth_charlotte;lothringen_elisabeth_charlotte;person
braunschweig_neustadttor;braunschweig_neustadttor;person
oettingen-oettingen_albrecht_ernst_ii;oettingen-oettingen_albrecht_ernst_ii;person
braunschweig-wolfenbuettel_rudolph_august;braunschweig-wolfenbuettel_rudolph_august;person
jettebrock_christian_ludwig;jettebrock_christian_ludwig;person
spoercken_georg_friedrich;spoercken_georg_friedrich;person
braunschweig-wolfenbuettel_anton_ulrich;braunschweig-wolfenbuettel_anton_ulrich;person
veltheim_anna_christina;veltheim_anna_christina;person
bennigsen_levin_adolf;bennigsen_levin_adolf;person
bennigsen_magdalena_agnes;bennigsen_magdalena_agnes;person
steinberg_friedrich;steinberg_friedrich;person
oettingen-oettingen_albrecht_ernst_ii;oettingen-oettingen_albrecht_ernst_ii;person
oettingen-oettingen_sophie_luise;oettingen-oettingen_sophie_luise;person
braunschweig-wolfenbuettel_ludwig_rudolph;braunschweig-wolfenbuettel_ludwig_rudolph;person
oettingen-oettingen_albrecht_ernst_ii;oettingen-oettingen_albrecht_ernst_ii;person
oettingen-oettingen_sophie_luise;oettingen-oettingen_sophie_luise;person
oettingen-oettingen_albrecht_ernst_ii;oettingen-oettingen_albrecht_ernst_ii;person
braunschweig-wolfenbuettel_ludwig_rudolph;braunschweig-wolfenbuettel_ludwig_rudolph;person
wuerttemberg-neuenstadt_karl_rudolph;wuerttemberg-neuenstadt_karl_rudolph;person
braunschweig-wolfenbuettel_anton_ulrich;braunschweig-wolfenbuettel_anton_ulrich;person
braunschweig-wolfenbuettel_ludwig_rudolph;braunschweig-wolfenbuettel_ludwig_rudolph;person
wuerttemberg-neuenstadt_karl_rudolph;wuerttemberg-neuenstadt_karl_rudolph;person
castell-ruedenhausen_johann_friedrich;castell-ruedenhausen_johann_friedrich;person
braunschweig-wolfenbuettel_ludwig_rudolph;braunschweig-wolfenbuettel_ludwig_rudolph;person
wuerttemberg-neuenstadt_karl_rudolph;wuerttemberg-neuenstadt_karl_rudolph;person
wuerttemberg-neuenstadt_karl_rudolph;wuerttemberg-neuenstadt_karl_rudolph;person
braunschweig-wolfenbuettel_august_wilhelm;braunschweig-wolfenbuettel_august_wilhelm;person
braunschweig-wolfenbuettel_ludwig_rudolph;braunschweig-wolfenbuettel_ludwig_rudolph;person
braunschweig-wolfenbuettel_anton_ulrich;braunschweig-wolfenbuettel_anton_ulrich;person
braunschweig-wolfenbuettel_sophia_amalia;braunschweig-wolfenbuettel_sophia_amalia;person
braunschweig-wolfenbuettel_august_wilhelm;braunschweig-wolfenbuettel_august_wilhelm;person
braunschweig-wolfenbuettel_sophia_amalia;braunschweig-wolfenbuettel_sophia_amalia;person
schack_christian;schack_christian;person
spoercken_georg_friedrich;spoercken_georg_friedrich;person
braunschweig-wolfenbuettel_august_wilhelm;braunschweig-wolfenbuettel_august_wilhelm;person
braunschweig-wolfenbuettel_ludwig_rudolph;braunschweig-wolfenbuettel_ludwig_rudolph;person
oettingen-oettingen_albrecht_ernst_ii;oettingen-oettingen_albrecht_ernst_ii;person
oettingen-oettingen_albrecht_ernst_ii;oettingen-oettingen_albrecht_ernst_ii;person
braunschweig-wolfenbuettel_anton_ulrich;braunschweig-wolfenbuettel_anton_ulrich;person
braunschweig-wolfenbuettel_elisabeth_juliane;braunschweig-wolfenbuettel_elisabeth_juliane;person
wuerttemberg-neuenstadt_karl_rudolph;wuerttemberg-neuenstadt_karl_rudolph;person
braunschweig-wolfenbuettel_anton_ulrich;braunschweig-wolfenbuettel_anton_ulrich;person
braunschweig-wolfenbuettel_anton_ulrich;braunschweig-wolfenbuettel_anton_ulrich;person
braunschweig-wolfenbuettel_elisabeth_juliane;braunschweig-wolfenbuettel_elisabeth_juliane;person
braunschweig-wolfenbuettel_ludwig_rudolph;braunschweig-wolfenbuettel_ludwig_rudolph;person
braunschweig-wolfenbuettel_anton_ulrich;braunschweig-wolfenbuettel_anton_ulrich;person
steinberg_friedrich;steinberg_friedrich;person
braunschweig-wolfenbuettel_elisabeth_juliane;braunschweig-wolfenbuettel_elisabeth_juliane;person
wuerttemberg-neuenstadt_karl_rudolph;wuerttemberg-neuenstadt_karl_rudolph;person
braunschweig-wolfenbuettel_anton_ulrich;braunschweig-wolfenbuettel_anton_ulrich;person
braunschweig-wolfenbuettel_ludwig_rudolph;braunschweig-wolfenbuettel_ludwig_rudolph;person
braunschweig-wolfenbuettel_august_wilhelm;braunschweig-wolfenbuettel_august_wilhelm;person
braunschweig-wolfenbuettel_sophia_amalia;braunschweig-wolfenbuettel_sophia_amalia;person
braunschweig-wolfenbuettel_sophia_amalia;braunschweig-wolfenbuettel_sophia_amalia;person
braunschweig-wolfenbuettel_ludwig_rudolph;braunschweig-wolfenbuettel_ludwig_rudolph;person
braunschweig-wolfenbuettel_ludwig_rudolph;braunschweig-wolfenbuettel_ludwig_rudolph;person
braunschweig-wolfenbuettel_august_wilhelm;braunschweig-wolfenbuettel_august_wilhelm;person
braunschweig-wolfenbuettel_sophia_amalia;braunschweig-wolfenbuettel_sophia_amalia;person
