source;target;manuscript
sachsen-zeitz_moritz_wilhelm;1698-06-03;Cod. Guelf. 211.1 Extrav.
sachsen-gotha-altenburg_friedrich_ii;1698-06-04;Cod. Guelf. 211.1 Extrav.
oettingen-oettingen_albrecht_ernst_ii;1698-06-05;Cod. Guelf. 211.1 Extrav.
rathsamhausen_anon_1;1698-06-07;Cod. Guelf. 211.1 Extrav.
oettingen-oettingen_albrecht_ernst_ii;1698-06-07;Cod. Guelf. 211.1 Extrav.
werthern_familie;1698-06-07;Cod. Guelf. 211.1 Extrav.
sachsen-weissenfels_johann_georg;1698-06-08;Cod. Guelf. 211.1 Extrav.
oettingen-oettingen_albrecht_ernst_ii;1698-06-08;Cod. Guelf. 211.1 Extrav.
mansfeld_familie;1698-06-08;Cod. Guelf. 211.1 Extrav.
sachsen_haus;1698-06-09;Cod. Guelf. 211.1 Extrav.
brandenburg_haus;1698-06-09;Cod. Guelf. 211.1 Extrav.
schwarzburg-sondershausen_auguste_dorothea;1698-06-11;Cod. Guelf. 211.1 Extrav.
hohenlohe-oehringen_sophia_eleonora;1698-06-11;Cod. Guelf. 211.1 Extrav.
oettingen-oettingen_albrecht_ernst_ii;1698-06-14;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_elisabeth_juliane;1698-06-15;Cod. Guelf. 211.1 Extrav.
molière_jean-baptiste_poquelin;1698-06-18;Cod. Guelf. 211.1 Extrav.
bressand_friedrich_christian;1698-06-18;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_elisabeth_juliane;1698-06-19;Cod. Guelf. 211.1 Extrav.
heron_charles-francois;1698-06-21;Cod. Guelf. 211.1 Extrav.
oettingen-oettingen_albrecht_ernst_ii;1698-06-22;Cod. Guelf. 211.1 Extrav.
wagner_burchardt;1698-06-22;Cod. Guelf. 211.1 Extrav.
heron_charles-francois;1698-06-25;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_ludwig_rudolph;1698-06-25;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_elisabeth_juliane;1698-06-25;Cod. Guelf. 211.1 Extrav.
oettingen-oettingen_albrecht_ernst_ii;1698-06-28;Cod. Guelf. 211.1 Extrav.
oettingen-oettingen_sophie_luise;1698-06-28;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_rudolph_august;1698-06-28;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_ludwig_rudolph;1698-06-28;Cod. Guelf. 211.1 Extrav.
happe_andreas_zacharias;1698-06-29;Cod. Guelf. 211.1 Extrav.
oettingen-oettingen_albrecht_ernst_ii;1698-06-29;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_anton_ulrich;1698-07-01;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_elisabeth_juliane;1698-07-01;Cod. Guelf. 211.1 Extrav.
bose_christoph_dietrich_d_j;1698-07-02;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_sophia_amalia;1698-07-02;Cod. Guelf. 211.1 Extrav.
heron_charles-francois;1698-07-03;Cod. Guelf. 211.1 Extrav.
bose_christoph_dietrich_d_j;1698-07-03;Cod. Guelf. 211.1 Extrav.
steinberg_friedrich;1698-07-03;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_anton_ulrich;1698-07-04;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_elisabeth_juliane;1698-07-04;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_elisabeth_juliane;1698-07-05;Cod. Guelf. 211.1 Extrav.
hohenlohe-oehringen_sophia_eleonora;1698-07-05;Cod. Guelf. 211.1 Extrav.
schwarzburg-sondershausen_auguste_dorothea;1698-07-06;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_ludwig_rudolph;1698-07-08;Cod. Guelf. 211.1 Extrav.
imhoff_sophia_henriette;1698-07-10;Cod. Guelf. 211.1 Extrav.
heron_charles-francois;1698-07-10;Cod. Guelf. 211.1 Extrav.
schoening_anon_1;1698-07-14;Cod. Guelf. 211.1 Extrav.
wuerttemberg_ludwig;1698-07-14;Cod. Guelf. 211.1 Extrav.
wuerttemberg_maria_dorothea_sophia;1698-07-14;Cod. Guelf. 211.1 Extrav.
wuerttemberg_maria_dorothea_sophia;1698-07-14;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_ludwig_rudolph;1698-07-15;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel-bevern_august_ferdinand;1698-07-15;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_elisabeth_juliane;1698-07-16;Cod. Guelf. 211.1 Extrav.
menthe_rosina_elisabeth;1698-07-16;Cod. Guelf. 211.1 Extrav.
wolfenbuettel_garten_elisabeth_julianes;1698-07-16;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel-bevern_august_ferdinand;1698-07-17;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel-bevern_august_ferdinand;1698-07-18;Cod. Guelf. 211.1 Extrav.
heron_charles-francois;1698-07-19;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_ludwig_rudolph;1698-07-19;Cod. Guelf. 211.1 Extrav.
oettingen-oettingen_albrecht_ernst_ii;1698-07-20;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_anton_ulrich;1698-07-21;Cod. Guelf. 211.1 Extrav.
heron_charles-francois;1698-07-21;Cod. Guelf. 211.1 Extrav.
oettingen-oettingen_albrecht_ernst_ii;1698-07-22;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_anton_ulrich;1698-07-23;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_elisabeth_juliane;1698-07-23;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_elisabeth_juliane;1698-07-25;Cod. Guelf. 211.1 Extrav.
heron_charles-francois;1698-07-25;Cod. Guelf. 211.1 Extrav.
oettingen-oettingen_albrecht_ernst_ii;1698-07-27;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_august_wilhelm;1698-07-27;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_sophia_amalia;1698-07-27;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_elisabeth_juliane;1698-07-27;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_anton_ulrich;1698-07-27;Cod. Guelf. 211.1 Extrav.
brandenstein_wilhelm;1698-07-29;Cod. Guelf. 211.1 Extrav.
oettingen-oettingen_albrecht_ernst_ii;1698-07-29;Cod. Guelf. 211.1 Extrav.
brandenstein_wilhelm;1698-07-30;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_anton_ulrich;1698-08-01;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_elisabeth_juliane;1698-08-01;Cod. Guelf. 211.1 Extrav.
ostfriesland_friedrich_ulrich;1698-08-01;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_ludwig_rudolph;1698-08-01;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_august_wilhelm;1698-08-01;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_sophia_amalia;1698-08-01;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_anton_ulrich;1698-08-01;Cod. Guelf. 211.1 Extrav.
heron_charles-francois;1698-08-02;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_sophia_amalia;1698-08-02;Cod. Guelf. 211.1 Extrav.
ostfriesland_friedrich_ulrich;1698-08-02;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_anton_ulrich;1698-08-03;Cod. Guelf. 211.1 Extrav.
stubenvoll_hans_christoph;1698-08-03;Cod. Guelf. 211.1 Extrav.
cramm_anon_1;1698-08-03;Cod. Guelf. 211.1 Extrav.
oettingen-oettingen_albrecht_ernst_ii;1698-08-03;Cod. Guelf. 211.1 Extrav.
