source;target;manuscript
braunschweig-lueneburg_sophie;1707-02-05;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_anton_ulrich;1707-02-05;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_august_wilhelm;1707-02-05;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_sophia_amalia;1707-02-05;Cod. Guelf. 286a Blank.
braunschweig-lueneburg_sophie;1707-02-08;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_anton_ulrich;1707-02-08;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_christine_luise;1707-02-08;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_august_wilhelm;1707-02-09;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_anton_ulrich;1707-02-09;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_henriette_christine;1707-02-09;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_anton_ulrich;1707-02-10;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_august_wilhelm;1707-02-10;Cod. Guelf. 286a Blank.
braunschweig-lueneburg_sophie;1707-02-10;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_anton_ulrich;1707-02-10;Cod. Guelf. 286a Blank.
braunschweig-lueneburg_georg_i;1707-02-10;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_august_wilhelm;1707-02-10;Cod. Guelf. 286a Blank.
bernstorff_hans_valentin;1707-02-11;Cod. Guelf. 286a Blank.
schleinitz_hans_christoph;1707-02-11;Cod. Guelf. 286a Blank.
bennigsen_friedrich_hermann;1707-02-11;Cod. Guelf. 286a Blank.
bennigsen_magdalena_agnes;1707-02-11;Cod. Guelf. 286a Blank.
fizleben_anon_1;1707-02-11;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_henriette_christine;1707-02-11;Cod. Guelf. 286a Blank.
braunschweig-lueneburg_sophie;1707-02-12;Cod. Guelf. 286a Blank.
braunschweig-lueneburg_georg_i;1707-02-12;Cod. Guelf. 286a Blank.
hohenzollern-hechingen_marie_leopoldine_ludovika;1707-02-12;Cod. Guelf. 286a Blank.
lamberg_luise_ernestine_friederike;1707-02-12;Cod. Guelf. 286a Blank.
hohenzollern-hechingen_christine_eberhardine_friederike;1707-02-12;Cod. Guelf. 286a Blank.
hohenzollern-hechingen_sophia_johanna_friederike;1707-02-12;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_anton_ulrich;1707-02-12;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_christine_luise;1707-02-12;Cod. Guelf. 286a Blank.
paland_anon_1;1707-02-12;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_anton_ulrich;1707-02-13;Cod. Guelf. 286a Blank.
braunschweig-lueneburg_georg_i;1707-02-13;Cod. Guelf. 286a Blank.
braunschweig-lueneburg_georg_i;1707-02-13;Cod. Guelf. 286a Blank.
lautensack_johann_peter;1707-02-13;Cod. Guelf. 286a Blank.
blum_heinrich_wilhelm;1707-02-13;Cod. Guelf. 286a Blank.
braunschweig-lueneburg_georg_i;1707-02-14;Cod. Guelf. 286a Blank.
braunschweig-lueneburg_sophie;1707-02-14;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_anton_ulrich;1707-02-14;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_august_wilhelm;1707-02-14;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel-bevern_ernst_ferdinand;1707-02-14;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_august_wilhelm;1707-02-12;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_sophia_amalia;1707-02-12;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_christine_luise;1707-02-12;Cod. Guelf. 286a Blank.
braunschweig-lueneburg_georg_i;1707-02-12;Cod. Guelf. 286a Blank.
braunschweig-lueneburg_sophie;1707-02-12;Cod. Guelf. 286a Blank.
pfalz_luise;1707-02-12;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_elisabeth_juliane;1707-02-12;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_anton_ulrich;1707-02-12;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_christine_luise;1707-02-12;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_august_wilhelm;1707-02-12;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_sophia_amalia;1707-02-12;Cod. Guelf. 286a Blank.
galli_giuseppe_carlo;1707-02-12;Cod. Guelf. 286a Blank.
bennigsen_johanna_henriette;1707-02-12;Cod. Guelf. 286a Blank.
schwigeln_anon_1;1707-02-12;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_anton_ulrich;1707-02-16;Cod. Guelf. 286a Blank.
braunschweig-lueneburg_sophie;1707-02-23;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_christine_luise;1707-02-23;Cod. Guelf. 286a Blank.
weselau_christoph;1707-02-23;Cod. Guelf. 286a Blank.
weselau_johann_ruediger;1707-02-23;Cod. Guelf. 286a Blank.
brandenburg-ansbach_wilhelm_friedrich;1707-02-28;Cod. Guelf. 286a Blank.
braunschweig-lueneburg_georg_ii;1707-02-28;Cod. Guelf. 286a Blank.
kaiserin_elisabeth_christine;1707-02-28;Cod. Guelf. 286a Blank.
lamberg_luise_ernestine_friederike;1707-02-28;Cod. Guelf. 286a Blank.
hohenzollern-hechingen_christine_eberhardine_friederike;1707-02-28;Cod. Guelf. 286a Blank.
hohenzollern-hechingen_sophia_johanna_friederike;1707-02-28;Cod. Guelf. 286a Blank.
braunschweig-lueneburg_georg_i;1707-02-28;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_anton_ulrich;1707-02-28;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_august_wilhelm;1707-02-28;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_sophia_amalia;1707-02-28;Cod. Guelf. 286a Blank.
braunschweig-lueneburg_sophie;1707-02-28;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_anton_ulrich;1707-02-28;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel-bevern_ernst_ferdinand;1707-02-28;Cod. Guelf. 286a Blank.
schleswig-holstein-sonderburg-norburg_ernst_leopold;1707-03-01;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_anton_ulrich;1707-03-06;Cod. Guelf. 286a Blank.
braunschweig-lueneburg_sophie;1707-03-06;Cod. Guelf. 286a Blank.
hohenzollern-hechingen_marie_leopoldine_ludovika;1707-03-06;Cod. Guelf. 286a Blank.
molanus_gerhard_walter;1707-03-06;Cod. Guelf. 286a Blank.
braunschweig-lueneburg_caroline;1707-03-06;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_anton_ulrich;1707-03-07;Cod. Guelf. 286a Blank.
bertram_anon_1;1707-03-07;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_anton_ulrich;1707-03-07;Cod. Guelf. 286a Blank.
oppel_moritz_friedrich;1707-03-07;Cod. Guelf. 286a Blank.
viereck_adam_otto;1707-03-07;Cod. Guelf. 286a Blank.
stechinelli_ludwig_wilhelm;1707-03-07;Cod. Guelf. 286a Blank.
jordan_carl_friedrich;1707-03-07;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_august_wilhelm;1707-03-07;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_ferdinand_albrecht_ii;1707-03-07;Cod. Guelf. 286a Blank.
schleinitz_hans_christoph;1707-03-07;Cod. Guelf. 286a Blank.
kaiserin_elisabeth_christine;1707-03-10;Cod. Guelf. 286a Blank.
kaiserin_elisabeth_christine;1707-04-19;Cod. Guelf. 286a Blank.
besser_heinrich_adrian;1707-04-19;Cod. Guelf. 286a Blank.
walther_friedrich_hans;1707-04-19;Cod. Guelf. 286a Blank.
steinberg_friedrich;1707-04-19;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_anton_ulrich;1707-04-19;Cod. Guelf. 286a Blank.
heemskerck_van_cornelia;1707-04-19;Cod. Guelf. 286a Blank.
kaiserin_elisabeth_christine;1707-04-19;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_christine_luise;1707-04-19;Cod. Guelf. 286a Blank.
rindsmaul_maria_katharina;1707-04-19;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_august_wilhelm;1707-04-19;Cod. Guelf. 286a Blank.
paar_joseph_ignaz;1707-04-19;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_ferdinand_albrecht_ii;1707-04-19;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_anton_ulrich;1707-04-19;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_henriette_christine;1707-04-19;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_sophia_amalia;1707-04-19;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_anton_ulrich;1707-06-20;Cod. Guelf. 286a Blank.
schleswig-holstein-sonderburg-ploen_dorothea_sophia;1707-06-20;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_christine_luise;1707-06-20;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_antoinette_amalia;1707-06-20;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_christine_luise;1707-06-21;Cod. Guelf. 286a Blank.
cramm_anon_1;1707-06-21;Cod. Guelf. 286a Blank.
probst_philipp_ludwig;1707-06-21;Cod. Guelf. 286a Blank.
probst_maria_elisabeth;1707-06-21;Cod. Guelf. 286a Blank.
dehn_ilse_luise;1707-06-21;Cod. Guelf. 286a Blank.
luedeke_urban_dietrich;1707-06-21;Cod. Guelf. 286a Blank.
luedeke_gebhard_levin;1707-06-21;Cod. Guelf. 286a Blank.
oppel_moritz_friedrich;1707-06-21;Cod. Guelf. 286a Blank.
bernstorff_hans_valentin;1707-06-21;Cod. Guelf. 286a Blank.
bortfeld_hedwig_dorothea;1707-06-21;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_anton_ulrich;1707-06-21;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_christine_luise;1707-06-21;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_antoinette_amalia;1707-06-21;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel-bevern_ernst_ferdinand;1707-06-21;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_anton_ulrich;1707-06-30;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_anton_ulrich;1707-07-01;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_christine_luise;1707-07-11;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_anton_ulrich;1707-07-17;Cod. Guelf. 286a Blank.
sachsen-eisenach_christiane_juliane;1707-07-17;Cod. Guelf. 286a Blank.
kaiserin_elisabeth_christine;1707-08-15;Cod. Guelf. 286a Blank.
balcke_johann_christoph;1707-08-17;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_august_wilhelm;1707-08-20;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_anton_ulrich;1707-08-23;Cod. Guelf. 286a Blank.
schweden_karl_xii;1707-09-01;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_christine_luise;1707-09-02;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_christine_luise;1707-09-03;Cod. Guelf. 286a Blank.
braunschweig-lueneburg_sophie;1707-09-07;Cod. Guelf. 286a Blank.
braunschweig-lueneburg_sophie;1707-09-08;Cod. Guelf. 286a Blank.
koetzler_florentina;1707-09-09;Cod. Guelf. 286a Blank.
braunschweig-lueneburg_sophie;1707-09-09;Cod. Guelf. 286a Blank.
braunschweig-lueneburg_sophie;1707-09-10;Cod. Guelf. 286a Blank.
braunschweig-lueneburg_sophie;1707-09-11;Cod. Guelf. 286a Blank.
sparr_anon_1;1707-09-13;Cod. Guelf. 286a Blank.
roessing_rudolph_sigmund;1707-09-13;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_anton_ulrich;1707-09-13;Cod. Guelf. 286a Blank.
braunschweig-lueneburg_sophie;1707-09-13;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_august_wilhelm;1707-09-13;Cod. Guelf. 286a Blank.
schaumburg-lippe_johanna_sophia;1707-09-13;Cod. Guelf. 286a Blank.
braunschweig-lueneburg_sophie;1707-09-14;Cod. Guelf. 286a Blank.
braunschweig-lueneburg_eleonore;1707-09-14;Cod. Guelf. 286a Blank.
schleswig-holstein-sonderburg-wiesenburg_johanna_magdalena_louisa;1707-09-14;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_august_wilhelm;1707-09-14;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_anton_ulrich;1707-09-14;Cod. Guelf. 286a Blank.
kaiserin_elisabeth_christine;1707-09-15;Cod. Guelf. 286a Blank.
kaiser_karl_vi;1707-09-15;Cod. Guelf. 286a Blank.
braunschweig-lueneburg_sophie;1707-09-16;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_august_wilhelm;1707-09-16;Cod. Guelf. 286a Blank.
schleswig-holstein-sonderburg-wiesenburg_johanna_magdalena_louisa;1707-09-16;Cod. Guelf. 286a Blank.
braunschweig-lueneburg_eleonore;1707-09-16;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_anton_ulrich;1707-09-16;Cod. Guelf. 286a Blank.
kaiserin_elisabeth_christine;1707-09-16;Cod. Guelf. 286a Blank.
braunschweig-lueneburg_sophie;1707-09-17;Cod. Guelf. 286a Blank.
schleswig-holstein-sonderburg-wiesenburg_johanna_magdalena_louisa;1707-09-17;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_august_wilhelm;1707-09-17;Cod. Guelf. 286a Blank.
braunschweig-lueneburg_eleonore;1707-09-17;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_christine_luise;1707-09-17;Cod. Guelf. 286a Blank.
schleswig-holstein-sonderburg-wiesenburg_johanna_magdalena_louisa;1707-09-18;Cod. Guelf. 286a Blank.
braunschweig-lueneburg_eleonore;1707-09-18;Cod. Guelf. 286a Blank.
schleswig-holstein-sonderburg-wiesenburg_johanna_magdalena_louisa;1707-09-19;Cod. Guelf. 286a Blank.
braunschweig-lueneburg_sophie;1707-09-20;Cod. Guelf. 286a Blank.
braunschweig-lueneburg_sophie;1707-09-21;Cod. Guelf. 286a Blank.
braunschweig-lueneburg_sophie;1707-09-21;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_anton_ulrich;1707-09-21;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_anton_ulrich;1707-10-14;Cod. Guelf. 286a Blank.
brauns_johann;1707-10-14;Cod. Guelf. 286a Blank.
braunschweig-lueneburg_sophie;1707-10-14;Cod. Guelf. 286a Blank.
russland_charlotte_christine_sophie;1707-10-23;Cod. Guelf. 286a Blank.
schleswig-holstein-sonderburg-ploen_juliane_luise;1707-10-23;Cod. Guelf. 286a Blank.
cramm_anon_1;1707-10-23;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_anton_ulrich;1707-11-30;Cod. Guelf. 286a Blank.
lothringen_karl_joseph;1707-01-03;Cod. Guelf. 286a Blank.
lothringen_leopold_joseph;1707-01-03;Cod. Guelf. 286a Blank.
wolff-metternich_zur_gracht_franz_arnold;1707-01-03;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_anton_ulrich;1707-01-03;Cod. Guelf. 286a Blank.
lothringen_karl_joseph;1707-01-07;Cod. Guelf. 286a Blank.
braunschweig-lueneburg_georg_i;1707-01-13;Cod. Guelf. 286a Blank.
weyhe_christian_ludwig;1707-01-13;Cod. Guelf. 286a Blank.
platen-hallermund_ernst_august;1707-01-13;Cod. Guelf. 286a Blank.
platen-hallermund_franz_ernst;1707-01-13;Cod. Guelf. 286a Blank.
braunschweig-lueneburg_ernst_august_i;1707-01-13;Cod. Guelf. 286a Blank.
kielmansegg_johann_adolf;1707-01-13;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_anton_ulrich;1707-01-13;Cod. Guelf. 286a Blank.
hagen_busso;1707-01-13;Cod. Guelf. 286a Blank.
veltheim_joachim_ludolf_2;1707-01-13;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_august_wilhelm;1707-01-13;Cod. Guelf. 286a Blank.
haxthausen_anton_ulrich;1707-01-13;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_anton_ulrich;1707-01-13;Cod. Guelf. 286a Blank.
braunschweig-lueneburg_georg_i;1707-01-13;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_anton_ulrich;1707-01-13;Cod. Guelf. 286a Blank.
braunschweig-lueneburg_georg_i;1707-01-17;Cod. Guelf. 286a Blank.
platen-hallermund_ernst_august;1707-01-17;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel-bevern_sophia_eleonora;1707-01-20;Cod. Guelf. 286a Blank.
sachsen_anna_sophia;1707-01-23;Cod. Guelf. 286a Blank.
sachsen_johann_georg_iii;1707-01-23;Cod. Guelf. 286a Blank.
polen_august_iii;1707-01-23;Cod. Guelf. 286a Blank.
mordeisen_gottfried_wilhelm;1707-01-23;Cod. Guelf. 286a Blank.
polen_august_iii;1707-01-23;Cod. Guelf. 286a Blank.
roessing_anon_1;1707-01-23;Cod. Guelf. 286a Blank.
jordan_carl_friedrich;1707-02-03;Cod. Guelf. 286a Blank.
buenau_anon_1;1707-02-03;Cod. Guelf. 286a Blank.
polen_stanislaw_i;1707-02-03;Cod. Guelf. 286a Blank.
sachsen-merseburg_heinrich;1707-02-03;Cod. Guelf. 286a Blank.
lescours_armand;1707-02-05;Cod. Guelf. 286a Blank.
lescours_judith;1707-02-05;Cod. Guelf. 286a Blank.
sommerfeld_karl_christian;1707-02-06;Cod. Guelf. 286a Blank.
braunschweig-lueneburg_sophie;1707-02-07;Cod. Guelf. 286a Blank.
bennigsen_johanna_henriette;1707-02-07;Cod. Guelf. 286a Blank.
bard_francesca;1707-02-07;Cod. Guelf. 286a Blank.
rheden_anon_1;1707-02-07;Cod. Guelf. 286a Blank.
poellnitz_henriette_charlotte;1707-02-07;Cod. Guelf. 286a Blank.
brandenburg_sophie_charlotte;1707-02-07;Cod. Guelf. 286a Blank.
schwartz_anon_1;1707-02-07;Cod. Guelf. 286a Blank.
bruennow_anon_1;1707-02-07;Cod. Guelf. 286a Blank.
diepenbrock_anon_2;1707-02-07;Cod. Guelf. 286a Blank.
galli_giuseppe_carlo;1707-02-07;Cod. Guelf. 286a Blank.
winde_william;1707-02-07;Cod. Guelf. 286a Blank.
rheden_anon_2;1707-02-07;Cod. Guelf. 286a Blank.
fabricius_johann;1707-02-07;Cod. Guelf. 286a Blank.
grote_anon_1;1707-02-07;Cod. Guelf. 286a Blank.
alvensleben_johann_friedrich;1707-02-08;Cod. Guelf. 286a Blank.
raumer_friedrich_amadeus_gottlieb;1707-02-08;Cod. Guelf. 286a Blank.
howe_emanuel_scrope;1707-02-08;Cod. Guelf. 286a Blank.
howe_ruperta;1707-02-08;Cod. Guelf. 286a Blank.
friesendorff_karl_gustav;1707-02-08;Cod. Guelf. 286a Blank.
nomis_benedict_andreas_caspar;1707-02-08;Cod. Guelf. 286a Blank.
rheden_anon_2;1707-02-08;Cod. Guelf. 286a Blank.
braunschweig-lueneburg_georg_i;1707-02-10;Cod. Guelf. 286a Blank.
hohenzollern-hechingen_marie_leopoldine_ludovika;1707-02-10;Cod. Guelf. 286a Blank.
lamberg_luise_ernestine_friederike;1707-02-10;Cod. Guelf. 286a Blank.
hohenzollern-hechingen_christine_eberhardine_friederike;1707-02-10;Cod. Guelf. 286a Blank.
hohenzollern-hechingen_sophia_johanna_friederike;1707-02-10;Cod. Guelf. 286a Blank.
weyhe_christian_ludwig;1707-02-10;Cod. Guelf. 286a Blank.
hardenberg_christian_ulrich;1707-02-10;Cod. Guelf. 286a Blank.
platen-hallermund_ernst_august;1707-02-10;Cod. Guelf. 286a Blank.
kielmansegg_johann_adolf;1707-02-10;Cod. Guelf. 286a Blank.
schulenburg_christian_guenther;1707-02-10;Cod. Guelf. 286a Blank.
blum_heinrich_wilhelm;1707-02-10;Cod. Guelf. 286a Blank.
schack_anon_1;1707-02-10;Cod. Guelf. 286a Blank.
schack_christian;1707-02-10;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_august_wilhelm;1707-02-10;Cod. Guelf. 286a Blank.
baudissin_wolf_heinrich;1707-02-10;Cod. Guelf. 286a Blank.
eyb_johann_friedrich;1707-02-10;Cod. Guelf. 286a Blank.
braunschweig-lueneburg_georg_i;1707-02-16;Cod. Guelf. 286a Blank.
braunschweig-lueneburg_sophie;1707-02-16;Cod. Guelf. 286a Blank.
hohenzollern-hechingen_marie_leopoldine_ludovika;1707-02-16;Cod. Guelf. 286a Blank.
lamberg_luise_ernestine_friederike;1707-02-16;Cod. Guelf. 286a Blank.
hohenzollern-hechingen_christine_eberhardine_friederike;1707-02-16;Cod. Guelf. 286a Blank.
hohenzollern-hechingen_sophia_johanna_friederike;1707-02-16;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_anton_ulrich;1707-02-16;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_anton_ulrich;1707-02-16;Cod. Guelf. 286a Blank.
leger_anon_1;1707-02-18;Cod. Guelf. 286a Blank.
polen_august_ii;1707-02-18;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_august_wilhelm;1707-02-18;Cod. Guelf. 286a Blank.
brandenburg-ansbach_wilhelm_friedrich;1707-02-23;Cod. Guelf. 286a Blank.
schaumburg-lippe_johanna_sophia;1707-02-23;Cod. Guelf. 286a Blank.
sinzendorff_anon_1;1707-02-23;Cod. Guelf. 286a Blank.
waldeck-pyrmont_friedrich_anton_ulrich;1707-02-23;Cod. Guelf. 286a Blank.
dohna_anon_1;1707-02-23;Cod. Guelf. 286a Blank.
pfalz_johann_wilhelm;1707-02-23;Cod. Guelf. 286a Blank.
boyneburg_levin_walrab;1707-02-23;Cod. Guelf. 286a Blank.
hessen-darmstadt_ernst_ludwig;1707-03-01;Cod. Guelf. 286a Blank.
amerangh_anon_1;1707-03-10;Cod. Guelf. 286a Blank.
friesendorff_karl_gustav;1707-03-11;Cod. Guelf. 286a Blank.
rasponi_anon_1;1707-03-11;Cod. Guelf. 286a Blank.
schleswig-holstein-sonderburg-beck_anton_guenther;1707-03-24;Cod. Guelf. 286a Blank.
cornberg_adam;1707-03-29;Cod. Guelf. 286a Blank.
cornberg_ilse_anna;1707-03-29;Cod. Guelf. 286a Blank.
felden_florenz;1707-03-30;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_anton_ulrich;1707-03-30;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_henriette_christine;1707-03-30;Cod. Guelf. 286a Blank.
boggen_bernhard;1707-03-30;Cod. Guelf. 286a Blank.
hohenlohe-weikersheim_karl_ludwig;1707-04-01;Cod. Guelf. 286a Blank.
friesendorff_karl_gustav;1707-04-02;Cod. Guelf. 286a Blank.
bennigsen_magdalena_agnes;1707-04-05;Cod. Guelf. 286a Blank.
kaiserin_elisabeth_christine;1707-04-05;Cod. Guelf. 286a Blank.
kaiserin_wilhelmine_amalie;1707-04-06;Cod. Guelf. 286a Blank.
rindsmaul_maria_katharina;1707-04-06;Cod. Guelf. 286a Blank.
kaiserin_elisabeth_christine;1707-04-06;Cod. Guelf. 286a Blank.
salburg_anon_1;1707-04-09;Cod. Guelf. 286a Blank.
oettingen-oettingen_albrecht_ernst_ii;1707-04-09;Cod. Guelf. 286a Blank.
griesheim_johann_ernst;1707-04-09;Cod. Guelf. 286a Blank.
steffani_agostino;1707-04-09;Cod. Guelf. 286a Blank.
alvensleben_johann_friedrich;1707-04-09;Cod. Guelf. 286a Blank.
alvensleben_adelheid_agnes;1707-04-09;Cod. Guelf. 286a Blank.
bothmer_friedrich_johann;1707-04-09;Cod. Guelf. 286a Blank.
nomis_benedict_andreas_caspar;1707-04-09;Cod. Guelf. 286a Blank.
lahontan_louis_armand;1707-04-09;Cod. Guelf. 286a Blank.
imhoff_wilhelm_heinrich;1707-04-14;Cod. Guelf. 286a Blank.
paar_joseph_ignaz;1707-04-15;Cod. Guelf. 286a Blank.
kaiserin_elisabeth_christine;1707-04-15;Cod. Guelf. 286a Blank.
wurmb_ludwig_heinrich;1707-05-13;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_christine_luise;1707-05-13;Cod. Guelf. 286a Blank.
schwarzburg-rudolstadt_magdalena_sibylla;1707-05-13;Cod. Guelf. 286a Blank.
schwarzburg-rudolstadt_ludwig_friedrich;1707-05-13;Cod. Guelf. 286a Blank.
schwarzburg-rudolstadt_anna_sophia;1707-05-13;Cod. Guelf. 286a Blank.
wurmb_ludwig_heinrich;1707-05-15;Cod. Guelf. 286a Blank.
voelckening_jobst_eberhard;1707-05-15;Cod. Guelf. 286a Blank.
heiring_jakob;1707-05-15;Cod. Guelf. 286a Blank.
luening_johann_friedrich;1707-05-15;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_christine_luise;1707-01-05;Cod. Guelf. 286a Blank.
kaiserin_elisabeth_christine;1707-01-05;Cod. Guelf. 286a Blank.
daniel_anon_1;1707-01-13;Cod. Guelf. 286a Blank.
braunschweig-lueneburg_caroline;1707-01-31;Cod. Guelf. 286a Blank.
braunschweig-lueneburg_friedrich_ludwig;1707-01-31;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_anton_ulrich;1707-01-31;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_christine_luise;1707-01-31;Cod. Guelf. 286a Blank.
russland_charlotte_christine_sophie;1707-02-07;Cod. Guelf. 286a Blank.
polen_christiane_eberhardine;1707-02-07;Cod. Guelf. 286a Blank.
neindorff_anon_1;1707-02-07;Cod. Guelf. 286a Blank.
ostfriesland_christian_eberhard;1707-02-07;Cod. Guelf. 286a Blank.
veltheim_joachim_ludolf_1;1707-02-07;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_christine_luise;1707-02-07;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_christine_luise;1707-04-06;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_anton_ulrich;1707-04-10;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_christine_luise;1707-04-11;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_anton_ulrich;1707-04-11;Cod. Guelf. 286a Blank.
hagen_dorothea_henriette;1707-04-19;Cod. Guelf. 286a Blank.
hagen_august_ferdinand;1707-04-19;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_august_wilhelm;1707-04-19;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_ferdinand_albrecht_ii;1707-04-19;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_christine_luise;1707-04-19;Cod. Guelf. 286a Blank.
fideler_karl_heinrich;1707-05-29;Cod. Guelf. 286a Blank.
baden-durlach_anna_sophia;1707-07-03;Cod. Guelf. 286a Blank.
sachsen-eisenach_christiane_juliane;1707-07-03;Cod. Guelf. 286a Blank.
sachsen-eisenach_karl_august;1707-07-03;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_christine_luise;1707-07-17;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_christine_luise;1707-08-15;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_christine_luise;1707-08-26;Cod. Guelf. 286a Blank.
braunschweig-wolfenbuettel_christine_luise;1707-09-08;Cod. Guelf. 286a Blank.
