source;target
berry_charles;1701-02-24
berry_charles;1701-02-24
berry_charles;1701-02-24
frankreich_ludwig_xiv;1701-02-24
frankreich_ludwig_xiv;1701-02-24
sachsen-gotha-altenburg_johann_wilhelm;1701-02-26
oettingen-oettingen_albrecht_ernst_ii;1701-02-26
braunschweig-wolfenbuettel_august_wilhelm;1701-02-26
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-02-26
oettingen-oettingen_albrecht_ernst_ii;1701-02-28
sachsen-gotha-altenburg_johann_wilhelm;1701-02-28
mecklenburg-schwerin_christian_ludwig_ii;1701-02-28
braunschweig-wolfenbuettel_anton_ulrich;1701-02-28
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-02-28
braunschweig-wolfenbuettel_elisabeth_juliane;1701-02-28
schwarzburg-sondershausen_auguste_dorothea;1701-02-28
oettingen-oettingen_albrecht_ernst_ii;1701-03-01
prigge_hans_georg;1701-03-01
desbordes_henri;1701-03-01
nassau-oranien_haus;1701-03-01
koenig_adolph;1701-03-01
england_wilhelm_iii;1701-03-01
bentivoglio_opere;1701-03-01
gracián_baltasar;1701-02-28
pascal_blaise;1701-02-28
braunschweig-wolfenbuettel_anton_ulrich;1701-02-28
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-02-28
hessen-philippsthal_karl;1701-03-02
braunschweig-wolfenbuettel_anton_ulrich;1701-03-02
tappe_hans;1701-03-03
hessen-philippsthal_karl;1701-03-03
schwartzkoppen_burchard;1701-03-04
erich_eberhard;1701-03-04
pape_bernhard;1701-03-04
pape_anon_1;1701-03-04
braunschweig-wolfenbuettel_christine_luise;1701-03-04
erich_eberhard;1701-03-02
russland_charlotte_christine_sophie;1701-03-02
polen_christiane_eberhardine;1701-03-02
hessen-philippsthal_karl;1701-03-05
braunschweig-wolfenbuettel_ferdinand_albrecht_ii;1701-03-05
hessen-philippsthal_karl;1701-03-07
schleinitz_anon_1;1701-03-07
schleinitz_anon_2;1701-03-07
walther_friedrich;1701-03-07
schwarzburg-sondershausen_auguste_dorothea;1701-03-10
braunschweig-wolfenbuettel_august_wilhelm;1701-03-10
braunschweig-wolfenbuettel_sophia_amalia;1701-03-10
valckenier_pieter;1701-03-11
hertel_lorenz;1701-03-13
rantzau_alexander_leopold_anton;1701-03-13
daenemark_friedrich_iv;1701-03-13
geist_anon_1;1701-03-13
polen_christiane_eberhardine;1701-03-13
schleinitz_anon_1;1701-03-12
