source;target
sachsen-weimar_charlotte_dorothea_sophia;1701-06-29
braunschweig-wolfenbuettel_rudolph_august;1701-06-29
menthe_rosina_elisabeth;1701-06-29
braunschweig-wolfenbuettel_rudolph_august;1701-05-20
braunschweig-wolfenbuettel_christine_elisabeth;1701-05-23
felden_florenz;1701-06-30
braunschweig-wolfenbuettel_anton_ulrich;1701-06-30
braunschweig-wolfenbuettel_elisabeth_juliane;1701-06-30
schulenburg_friedrich_achaz;1701-06-30
steinberg_friedrich;1701-05-25
braunschweig-wolfenbuettel_anton_ulrich;1701-06-10
rheden_henning_christoph;1701-06-10
rheden_caspar_adam;1701-06-10
hessen-homburg_friedrich_ii;1701-07-01
hessen-homburg_sophia_sibylla;1701-07-01
prigge_hans_georg;1701-07-01
campen_bernhard_adolph;1701-07-01
rockhausen_georg_friedrich;1701-07-01
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-07-01
oppel_moritz_friedrich;1701-07-01
meves_hans;1701-07-01
tappe_hans;1701-07-01
tuerck_anton_julius;1701-07-01
behm_heinrich_julius;1701-07-01
braunschweig-wolfenbuettel_christine_luise;1701-07-01
braunschweig-wolfenbuettel_christine_luise;1701-07-02
braunschweig-wolfenbuettel_anton_ulrich;1701-07-02
braunschweig-wolfenbuettel_elisabeth_juliane;1701-07-02
braunschweig-wolfenbuettel_elisabeth_juliane;1701-07-02
braunschweig-wolfenbuettel_anton_ulrich;1701-07-02
axel_anon_1;1701-07-02
braunschweig-wolfenbuettel_christine_luise;1701-07-04
braunschweig-wolfenbuettel_elisabeth_juliane;1701-07-04
braunschweig-wolfenbuettel_august_wilhelm;1701-07-04
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-07-04
braunschweig-wolfenbuettel_anton_ulrich;1701-07-04
braunschweig-wolfenbuettel_christine_luise;1701-07-06
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-07-06
braunschweig-wolfenbuettel_rudolph_august;1701-07-06
kaiser_leopold_i;1701-07-07
rappach_karl_ernst;1701-07-07
braunschweig-wolfenbuettel_elisabeth_juliane;1701-07-07
koetzler_maria_eleonora;1701-07-07
braunschweig-wolfenbuettel_anton_ulrich;1701-07-08
braunschweig-wolfenbuettel_christine_luise;1701-07-08
wegscheider_johann_sebastian;1701-07-08
braunschweig-wolfenbuettel_rudolph_august;1701-07-08
braunschweig-wolfenbuettel_anton_ulrich;1701-07-08
braunschweig-wolfenbuettel_august_wilhelm;1701-07-08
sachsen-meiningen_eleonora_friederike;1701-07-08
braunschweig-wolfenbuettel_elisabeth_sophia_maria;1701-07-08
bonnac_jean_louis;1701-07-08
henning_anon_1;1701-07-08
schwartzkoppen_burchard;1701-07-08
braunschweig-wolfenbuettel_christine_luise;1701-07-09
meves_hans;1701-07-09
oettingen-oettingen_albrecht_ernst_ii;1701-07-09
steinberg_friedrich;1701-07-09
heringen_georg_albrecht;1701-07-09
braunschweig-wolfenbuettel_christine_luise;1701-07-10
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-07-10
sachsen-meiningen_eleonora_friederike;1701-07-10
braunschweig-wolfenbuettel_elisabeth_sophia_maria;1701-07-10
braunschweig-wolfenbuettel_august_wilhelm;1701-07-10
braunschweig-wolfenbuettel_sophia_amalia;1701-07-10
braunschweig-wolfenbuettel_christine_luise;1701-07-11
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-07-11
braunschweig-wolfenbuettel-bevern_ferdinand_christian;1701-07-11
braunschweig-wolfenbuettel_ferdinand_albrecht_ii;1701-07-11
walther_friedrich_hans;1701-07-11
matthiae_andreas;1701-07-11
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-07-11
pollich_johann_wolfgang;1701-07-11
braunschweig-wolfenbuettel_christine_luise;1701-07-12
braunschweig-wolfenbuettel_christine_luise;1701-07-13
matthiae_andreas;1701-07-13
braunschweig-wolfenbuettel_christine_luise;1701-07-15
metzsch_sibylla_juliana;1701-07-16
metzsch_hans_friedrich;1701-07-16
braunschweig-wolfenbuettel_christine_luise;1701-07-17
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-07-17
braunschweig-wolfenbuettel-bevern_ferdinand_christian;1701-07-17
koehler_daniel;1701-07-08
grave_heinrich;1701-07-08
braunschweig-wolfenbuettel_christine_luise;1701-07-19
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-07-19
black_gustav;1701-07-19
braunschweig-wolfenbuettel_christine_luise;1701-07-20
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-07-20
braunschweig-wolfenbuettel_anton_ulrich;1701-07-22
braunschweig-wolfenbuettel_elisabeth_juliane;1701-07-22
braunschweig-wolfenbuettel_august_wilhelm;1701-07-22
braunschweig-wolfenbuettel_sophia_amalia;1701-07-22
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-07-22
imhoff_anton_albrecht;1701-07-22
bortfeld_hedwig_dorothea;1701-07-22
koetzler_florentina;1701-07-22
braunschweig-wolfenbuettel_elisabeth_juliane;1701-07-22
wagner_burchardt;1701-07-22
braunschweig-wolfenbuettel_christine_luise;1701-07-22
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-07-22
kaiserin_elisabeth_christine;1701-07-22
bobart_daniel_arnold;1701-07-22
campen_bernhard_adolph;1701-07-22
braunschweig-wolfenbuettel_christine_luise;1701-07-22
mueller_christoph;1701-07-22
hausmann_konrad;1701-07-22
wolter_hans_juergen;1701-07-22
andreas_anon_1;1701-07-22
johann_georg_anon;1701-07-22
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-07-22
braunschweig-wolfenbuettel_christine_luise;1701-07-22
soechting_valentin;1701-07-22
wegscheider_johann_sebastian;1701-07-22
luppels_bernhard_daniel;1701-07-22
treseau_anon_1;1701-07-22
katte_karl_august;1701-07-22
braunschweig-wolfenbuettel_christine_luise;1701-07-22
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-07-22
kaiserin_elisabeth_christine;1701-07-22
bobart_daniel_arnold;1701-07-22
stoeckheim_anna_sophia;1701-07-22
braunschweig-wolfenbuettel_christine_luise;1701-07-23
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-07-23
braunschweig-wolfenbuettel_christine_luise;1701-07-25
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-07-25
campen_bernhard_adolph;1701-07-25
stoeckheim_anna_sophia;1701-07-25
candor_gui;1701-07-25
braunschweig-wolfenbuettel_christine_luise;1701-07-26
braunschweig-wolfenbuettel_august_wilhelm;1701-07-26
braunschweig-wolfenbuettel_sophia_amalia;1701-07-26
matthiae_andreas;1701-07-26
pape_bernhard;1701-07-26
pape_anon_1;1701-07-26
schleswig-holstein-sonderburg-ploen_johann_adolf;1701-07-26
schleswig-holstein-sonderburg-ploen_adolf_august;1701-07-26
braunschweig-wolfenbuettel_rudolph_august;1701-07-26
matthiae_andreas;1701-07-27
metzsch_sibylla_juliana;1701-07-27
wagner_anon_1;1701-07-27
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-05-20
braunschweig-wolfenbuettel_rudolph_august;1701-05-20
schleswig-holstein-sonderburg-ploen_johann_adolf;1701-05-20
schleswig-holstein-sonderburg-ploen_adolf_august;1701-05-20
schleswig-holstein-sonderburg-ploen_johann_adolf;1701-07-28
schleswig-holstein-sonderburg-ploen_adolf_august;1701-07-28
braunschweig-wolfenbuettel_anton_ulrich;1701-07-28
braunschweig-wolfenbuettel_elisabeth_juliane;1701-07-28
braunschweig-wolfenbuettel_sophia_amalia;1701-07-28
braunschweig-wolfenbuettel_august_wilhelm;1701-07-28
braunschweig-wolfenbuettel_christine_luise;1701-07-28
bonnac_jean_louis;1701-07-28
mencke_otto;1701-07-28
probst_philipp_ludwig;1701-07-28
imhoff_anton_albrecht;1701-07-28
luedeke_urban_dietrich;1701-07-28
haym_anon_1;1701-07-28
eltz_friederike_elisabeth;1701-07-28
steinberg_johann_adolph;1701-07-28
eltz_friederike_elisabeth;1701-07-28
braunschweig-wolfenbuettel_christine_luise;1701-07-28
haym_anon_1;1701-07-28
schleswig-holstein-sonderburg-ploen_adolf_august;1701-07-28
sachsen-meiningen_eleonora_friederike;1701-07-28
braunschweig-wolfenbuettel_elisabeth_sophia_maria;1701-07-28
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-07-28
germer_georg;1701-07-28
lippe-brake_ludwig_ferdinand;1701-07-28
schleinitz_hans_georg_haubold;1701-07-28
amat_etienne;1701-07-28
gersdorff_anon_2;1701-07-28
schwartzkoppen_burchard;1701-07-28
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-07-29
braunschweig-wolfenbuettel_august_wilhelm;1701-07-29
braunschweig-wolfenbuettel_sophia_amalia;1701-07-29
braunschweig-wolfenbuettel_christine_luise;1701-07-29
schleswig-holstein-sonderburg-ploen_adolf_august;1701-07-29
bonnac_jean_louis;1701-07-29
du_cros_josef_august;1701-07-30
braunschweig-wolfenbuettel_anton_ulrich;1701-08-01
braunschweig-wolfenbuettel_elisabeth_juliane;1701-08-01
busch_bodo_heinrich;1701-08-01
schleswig-holstein-sonderburg-ploen_adolf_august;1701-08-01
amat_etienne;1701-08-01
seebach_anon_1;1701-08-03
eltz_friederike_elisabeth;1701-08-03
meves_hans;1701-08-04
imhoff_anton_albrecht;1701-08-04
braunschweig-wolfenbuettel_christine_luise;1701-08-04
matti_dominico;1701-08-04
ulrich_anon_1;1701-08-04
ulrich_anon_2;1701-08-04
wegscheider_johann_sebastian;1701-08-04
luppels_bernhard_daniel;1701-08-04
andreas_anon_1;1701-08-04
anna_anon_1;1701-08-04
braunschweig-wolfenbuettel_anton_ulrich;1701-08-04
braunschweig-wolfenbuettel_elisabeth_juliane;1701-08-05
braunschweig-wolfenbuettel_august_wilhelm;1701-08-05
braunschweig-wolfenbuettel_sophia_amalia;1701-08-05
schleswig-holstein-sonderburg-ploen_adolf_august;1701-08-05
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-08-05
braunschweig-wolfenbuettel_christine_luise;1701-08-05
spoercken_georg_friedrich;1701-08-05
malsburg_friederike_juliane;1701-08-05
braunschweig-wolfenbuettel_elisabeth_juliane;1701-08-06
braunschweig-wolfenbuettel_christine_luise;1701-08-06
behaim_anon_1;1701-08-06
braunschweig-wolfenbuettel_elisabeth_juliane;1701-08-08
scio_sebastiano;1701-08-09
uslenghi_catharina_elisabeth;1701-08-09
braunschweig-wolfenbuettel_august_wilhelm;1701-08-10
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-08-10
heringen_georg_albrecht;1701-08-10
braunschweig-wolfenbuettel_anton_ulrich;1701-08-11
braunschweig-wolfenbuettel_elisabeth_juliane;1701-08-11
braunschweig-wolfenbuettel_august_wilhelm;1701-08-11
braunschweig-wolfenbuettel_sophia_amalia;1701-08-11
braunschweig-wolfenbuettel_christine_luise;1701-08-11
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-08-12
castell-remlingen_leopold_friedrich_ernst;1701-08-12
voelckening_jobst_eberhard;1701-08-12
kuehlewein_georg_balthasar;1701-08-12
prigge_hans_georg;1701-08-12
campen_bernhard_adolph;1701-08-12
eggeling_johann_gotthard;1701-08-12
kern_david_heinrich;1701-08-12
kuehlewein_georg_balthasar;1701-08-12
axel_anon_1;1701-08-12
schleswig-holstein-sonderburg-ploen_johann_adolf;1701-08-13
braunschweig-wolfenbuettel_anton_ulrich;1701-08-13
scio_sebastiano;1701-08-13
schleswig-holstein-sonderburg-ploen_johann_adolf;1701-08-13
schleswig-holstein-sonderburg-ploen_dorothea_sophia;1701-08-13
sachsen-zeitz_anna_friederica_philippina;1701-08-13
imhoff_rudolph_christian;1701-08-17
braunschweig-wolfenbuettel_august_wilhelm;1701-08-17
frankreich_ludwig_xiv;1701-08-17
largilliere_nicolas;1701-08-17
largilliere_nicolas;1701-08-17
braunschweig-wolfenbuettel_anton_ulrich;1701-08-17
bonnac_jean_louis;1701-08-17
spoercken_georg_friedrich;1701-08-17
braunschweig-wolfenbuettel_ferdinand_albrecht_ii;1701-08-17
schleswig-holstein-sonderburg-ploen_johann_adolf;1701-08-17
schleswig-holstein-sonderburg-ploen_dorothea_sophia;1701-08-17
schleswig-holstein-sonderburg-ploen_adolf_august;1701-08-17
braunschweig-wolfenbuettel_august_wilhelm;1701-08-17
braunschweig-wolfenbuettel_sophia_amalia;1701-08-17
braunschweig-wolfenbuettel_christine_luise;1701-08-17
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-08-17
osten_peter_christoph;1701-08-17
bonnac_jean_louis;1701-08-17
scio_sebastiano;1701-08-17
schleswig-holstein-sonderburg-ploen_adolf_august;1701-08-19
bobart_justine_dorothea;1701-08-19
veltheim_anna_christina;1701-08-19
henning_anon_1;1701-08-19
stoeckheim_anna_sophia;1701-08-19
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-08-19
braunschweig-wolfenbuettel-bevern_ferdinand_christian;1701-08-19
schleswig-holstein-sonderburg-norburg_ernst_leopold;1701-08-19
oppel_moritz_friedrich;1701-08-19
brion_abel_armand;1701-08-19
veltheim_joachim_ludolf_2;1701-08-19
gersdorff_anon_2;1701-08-19
amat_etienne;1701-08-19
sultan_mustafa_ii;1701-08-19
koehler_daniel;1701-08-19
matti_dominico;1701-08-19
aaron_isaac;1701-08-19
wegscheider_johann_sebastian;1701-08-19
luppels_bernhard_daniel;1701-08-19
schleswig-holstein-sonderburg-ploen_johann_adolf;1701-08-20
schleswig-holstein-sonderburg-ploen_dorothea_sophia;1701-08-20
braunschweig-wolfenbuettel_august_wilhelm;1701-08-20
braunschweig-wolfenbuettel_sophia_amalia;1701-08-20
schleswig-holstein-sonderburg-ploen_adolf_august;1701-08-20
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-08-20
krosigk_bernhard_friedrich;1701-08-20
alvensleben_johann_friedrich;1701-08-20
osten_peter_christoph;1701-08-20
petkum_edzard_adolph;1701-08-20
sachsen-meiningen_eleonora_friederike;1701-08-20
mecklenburg-strelitz_adolph_friedrich_ii;1701-08-20
mencke_otto;1701-08-20
hasberg_jobst_moritz;1701-08-20
braunschweig-wolfenbuettel_anton_ulrich;1701-08-20
braunschweig-wolfenbuettel_elisabeth_juliane;1701-08-20
braunschweig-wolfenbuettel_rudolph_august;1701-08-20
braunschweig-wolfenbuettel_anton_ulrich;1701-08-22
braunschweig-wolfenbuettel_elisabeth_juliane;1701-08-22
schleswig-holstein-sonderburg-ploen_johann_adolf;1701-08-22
schleswig-holstein-sonderburg-ploen_dorothea_sophia;1701-08-22
braunschweig-wolfenbuettel_august_wilhelm;1701-08-22
braunschweig-wolfenbuettel_sophia_amalia;1701-08-22
braunschweig-wolfenbuettel_christine_luise;1701-08-22
pollich_johann_wolfgang;1701-08-22
binnius_hans_juergen;1701-08-22
dassel_justus_stats;1701-08-22
schwartzkoppen_burchard;1701-08-22
eckart_johann_friedrich;1701-08-23
julius_anon;1701-08-23
fullécy_françois;1701-08-23
albert_anon_1;1701-08-23
braunschweig-wolfenbuettel_christine_luise;1701-08-23
tappe_hans;1701-08-23
hoyer_johann_heinrich;1701-08-23
guenther_johann_kaspar;1701-08-23
andreas_anon_1;1701-08-23
wolter_hans_juergen;1701-08-23
sachsen-zeitz_anna_friederica_philippina;1701-08-23
schleswig-holstein-sonderburg-wiesenburg_johanna_magdalena_louisa;1701-08-23
scheller_esajas;1701-08-23
boeckmann_johann;1701-08-23
lillie_johann_dieter;1701-08-23
braunschweig-wolfenbuettel_august_wilhelm;1701-08-23
glander_jakob;1701-08-23
knabe_christian;1701-08-23
klette_johann_heinrich;1701-08-23
tappe_hans;1701-08-23
neuhoff_adam;1701-08-23
pape_anon_1;1701-08-24
erich_eberhard;1701-08-24
schleswig-holstein-sonderburg-ploen_adolf_august;1701-08-24
braunschweig-wolfenbuettel_elisabeth_sophia_maria;1701-08-24
braunschweig-wolfenbuettel_elisabeth_juliane;1701-08-24
schleswig-holstein-sonderburg-norburg_rudolph_friedrich;1701-08-24
schleswig-holstein-sonderburg-norburg_ernst_leopold;1701-08-24
schleswig-holstein-sonderburg-ploen_johann_adolf;1701-08-25
schleswig-holstein-sonderburg-ploen_dorothea_sophia;1701-08-25
schleswig-holstein-sonderburg-ploen_johann_adolf;1701-08-25
schleswig-holstein-sonderburg-ploen_adolf_august;1701-08-25
braunschweig-wolfenbuettel_elisabeth_sophia_maria;1701-08-25
erich_eberhard;1701-08-25
braunschweig-wolfenbuettel_christine_luise;1701-08-25
sachsen-meiningen_eleonora_friederike;1701-08-26
braunschweig-wolfenbuettel_elisabeth_sophia_maria;1701-08-26
imhoff_anton_albrecht;1701-08-26
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-08-27
schwartzkoppen_burchard;1701-08-27
usson_jean;1701-08-29
bonnac_jean_louis;1701-08-29
matti_dominico;1701-08-29
usson_jean;1701-08-29
oppel_moritz_friedrich;1701-08-30
bose_christoph_dietrich_d_ae;1701-08-30
kuehlewein_georg_balthasar;1701-08-30
laemmel_johann;1701-08-30
kragen_christoph_julius;1701-08-30
braunschweig-wolfenbuettel_anton_ulrich;1701-08-30
usson_jean;1701-08-30
stockhausen_justus_hermann;1701-08-30
imhoff_anton_albrecht;1701-08-30
henning_anton_adolf;1701-08-30
wintzingerode_johann_christian;1701-08-30
braunschweig-wolfenbuettel_christine_luise;1701-08-29
braunschweig-wolfenbuettel_anton_ulrich;1701-08-31
braunschweig-wolfenbuettel_elisabeth_juliane;1701-08-31
braunschweig-wolfenbuettel_christine_luise;1701-09-04
braunschweig-wolfenbuettel_elisabeth_juliane;1701-09-05
steinberg_friedrich;1701-09-05
braunschweig-wolfenbuettel_ferdinand_albrecht_ii;1701-09-05
walther_friedrich_hans;1701-09-05
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-09-06
kragen_christoph_julius;1701-09-06
braunschweig-wolfenbuettel_rudolph_august;1701-09-06
braunschweig-wolfenbuettel_anton_ulrich;1701-09-06
probst_philipp_ludwig;1701-09-06
braunschweig-wolfenbuettel_anton_ulrich;1701-09-06
braunschweig-wolfenbuettel_august_wilhelm;1701-09-06
usson_jean;1701-09-06
bonnac_jean_louis;1701-09-06
mencke_otto;1701-09-06
braunschweig-wolfenbuettel_anton_ulrich;1701-09-06
usson_jean;1701-09-06
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-09-06
braunschweig-wolfenbuettel_august_wilhelm;1701-09-06
probst_philipp_ludwig;1701-09-06
kragen_christoph_julius;1701-09-06
bernstorff_hans_valentin;1701-09-06
lippe-brake_georg;1701-09-06
schleswig-holstein-sonderburg-ploen_adolf_august;1701-09-06
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-09-06
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-09-07
cramm_johann_ludwig;1701-09-07
candor_gui;1701-09-07
mencke_otto;1701-09-08
braunschweig-wolfenbuettel_anton_ulrich;1701-09-08
braunschweig-wolfenbuettel_august_wilhelm;1701-09-08
schleswig-holstein-sonderburg-ploen_adolf_august;1701-09-08
usson_jean;1701-09-08
probst_philipp_ludwig;1701-09-08
imhoff_anton_albrecht;1701-09-08
luedeke_urban_dietrich;1701-09-08
kragen_christoph_julius;1701-09-08
klengel_hans_caspar;1701-09-08
bennigsen_levin_adolf;1701-09-08
braunschweig-wolfenbuettel_christine_luise;1701-09-08
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-09-08
wuerttemberg-neuenstadt_karl_rudolph;1701-09-08
daenemark_friedrich_iv;1701-09-08
kragen_christoph_julius;1701-09-09
probst_philipp_ludwig;1701-09-09
schleswig-holstein-sonderburg-ploen_adolf_august;1701-09-09
braunschweig-wolfenbuettel_rudolph_august;1701-09-09
bernstorff_hans_valentin;1701-09-09
heringen_georg_albrecht;1701-09-09
schleswig-holstein-sonderburg-ploen_johann_adolf;1701-09-09
usson_jean;1701-09-09
braunschweig-wolfenbuettel_anton_ulrich;1701-09-09
frankreich_ludwig_xiv;1701-09-09
braunschweig-wolfenbuettel_rudolph_august;1701-09-09
braunschweig-wolfenbuettel_elisabeth_juliane;1701-09-09
braunschweig-wolfenbuettel_henriette_christine;1701-09-09
steinberg_friedrich;1701-09-09
braunschweig-wolfenbuettel_christine_luise;1701-09-09
brion_abel_armand;1701-09-09
braunschweig-wolfenbuettel_elisabeth_juliane;1701-09-10
braunschweig-wolfenbuettel_henriette_christine;1701-09-10
braunschweig-wolfenbuettel_elisabeth_juliane;1701-09-11
axel_anon_1;1701-09-11
braunschweig-wolfenbuettel_anton_ulrich;1701-09-11
braunschweig-wolfenbuettel_anton_ulrich;1701-09-13
bonnac_jean_louis;1701-09-13
probst_philipp_ludwig;1701-09-13
imhoff_anton_albrecht;1701-09-13
braunschweig-wolfenbuettel_august_wilhelm;1701-09-13
stockhausen_justus_hermann;1701-09-13
germer_georg;1701-09-13
boetticher_siegfried_justus;1701-09-13
eggeling_johann_gotthard;1701-09-13
lippe-brake_georg;1701-09-13
usson_jean;1701-09-13
braunschweig-wolfenbuettel_anton_ulrich;1701-09-13
bonnac_jean_louis;1701-09-13
frankreich_ludwig_xiv;1701-09-13
voelckening_jobst_eberhard;1701-09-13
braunschweig-wolfenbuettel_anton_ulrich;1701-09-13
voelckening_jobst_eberhard;1701-09-13
lippe-brake_georg;1701-09-13
braunschweig-wolfenbuettel_anton_ulrich;1701-09-13
braunschweig-wolfenbuettel_august_wilhelm;1701-09-13
braunschweig-wolfenbuettel_ferdinand_albrecht_ii;1701-09-15
walther_friedrich_hans;1701-09-15
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-09-15
braunschweig-wolfenbuettel_christine_luise;1701-09-15
braunschweig-wolfenbuettel_elisabeth_juliane;1701-09-15
schleinitz_hans_georg_haubold;1701-09-16
braunschweig-wolfenbuettel_anton_ulrich;1701-09-16
braunschweig-wolfenbuettel_august_wilhelm;1701-09-16
schleswig-holstein-sonderburg-ploen_adolf_august;1701-09-16
braunschweig-wolfenbuettel_rudolph_august;1701-09-16
lippe-brake_georg;1701-09-16
kragen_christoph_julius;1701-09-16
lippe-brake_georg;1701-09-16
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-09-16
braunschweig-wolfenbuettel_christine_luise;1701-09-17
wegscheider_johann_sebastian;1701-09-17
schleswig-holstein-sonderburg-ploen_adolf_august;1701-09-18
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-09-18
usson_jean;1701-09-18
bonnac_jean_louis;1701-09-18
schweden_karl_xii;1701-09-18
frankreich_ludwig_xiv;1701-09-18
mencke_otto;1701-09-18
colbert_jean-baptiste;1701-09-18
bonnac_jean_louis;1701-09-18
frankreich_ludwig_xiv;1701-09-18
bonnac_jean_louis;1701-09-18
schleswig-holstein-sonderburg-ploen_adolf_august;1701-09-18
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-09-18
usson_jean;1701-09-18
bonnac_jean_louis;1701-09-18
bonnac_jean_louis;1701-09-20
usson_jean;1701-09-20
schleswig-holstein-sonderburg-ploen_johann_adolf;1701-09-20
schleswig-holstein-sonderburg-ploen_dorothea_sophia;1701-09-20
sachsen-zeitz_anna_friederica_philippina;1701-09-20
kaiserstein_anton;1701-09-20
wapowski_carolus;1701-09-20
braunschweig-wolfenbuettel_anton_ulrich;1701-09-20
braunschweig-wolfenbuettel_august_wilhelm;1701-09-20
braunschweig-wolfenbuettel_elisabeth_juliane;1701-09-20
schleswig-holstein-sonderburg-ploen_adolf_august;1701-09-20
sachsen-zeitz_anna_friederica_philippina;1701-09-20
sachsen-meiningen_eleonora_friederike;1701-09-20
braunschweig-wolfenbuettel_elisabeth_sophia_maria;1701-09-20
schleswig-holstein-sonderburg-norburg_ernst_leopold;1701-09-20
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-09-20
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-09-20
braunschweig-wolfenbuettel_christine_luise;1701-09-21
braunschweig-wolfenbuettel_anton_ulrich;1701-09-22
braunschweig-wolfenbuettel_august_wilhelm;1701-09-22
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-09-22
usson_jean;1701-09-22
bonnac_jean_louis;1701-09-21
klengel_hans_caspar;1701-09-23
fulde_statz_friedrich;1701-09-23
braunschweig-wolfenbuettel_anton_ulrich;1701-09-23
braunschweig-wolfenbuettel_august_wilhelm;1701-09-23
usson_jean;1701-09-23
lippe-brake_georg;1701-09-23
tuerck_anton_julius;1701-09-23
fulde_statz_friedrich;1701-09-23
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-09-23
braunschweig-wolfenbuettel_anton_ulrich;1701-09-24
braunschweig-wolfenbuettel_christine_luise;1701-09-25
axel_anon_1;1701-09-26
persius_leopold_ferdinand;1701-09-27
braunschweig-wolfenbuettel_christine_luise;1701-09-27
persius_leopold_ferdinand;1701-09-27
braunschweig-wolfenbuettel_henriette_christine;1701-09-25
hessen-darmstadt_ernst_ludwig;1701-09-25
metzsch_sibylla_juliana;1701-09-28
usson_jean;1701-09-28
matti_dominico;1701-09-28
braunschweig-wolfenbuettel_christine_luise;1701-09-28
braunschweig-wolfenbuettel_elisabeth_juliane;1701-09-28
praetorius_samuel_rudolph;1701-09-29
achilles_anon_1;1701-09-29
braunschweig-wolfenbuettel_elisabeth_juliane;1701-09-29
braunschweig-wolfenbuettel_henriette_christine;1701-09-29
braunschweig-wolfenbuettel_christine_luise;1701-09-29
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-09-29
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-10-03
luening_johann_friedrich;1701-10-06
klengel_hans_caspar;1701-10-06
schwarzburg-sondershausen_auguste_dorothea;1701-10-06
braunschweig-wolfenbuettel_anton_ulrich;1701-10-06
molière_jean-baptiste_poquelin;1701-10-07
braunschweig-wolfenbuettel_anton_ulrich;1701-10-07
schleswig-holstein-sonderburg-norburg_herzogtum;1701-10-07
schleswig-holstein-sonderburg-ploen_adolf_august;1701-10-08
braunschweig-wolfenbuettel_elisabeth_sophia_maria;1701-10-08
braunschweig-wolfenbuettel_elisabeth_juliane;1701-10-08
braunschweig-wolfenbuettel_rudolph_august;1701-10-08
braunschweig-wolfenbuettel_anton_ulrich;1701-10-08
schleswig-holstein-sonderburg-ploen_johann_adolf;1701-10-08
schleswig-holstein-sonderburg-ploen_dorothea_sophia;1701-10-08
braunschweig-wolfenbuettel_august_wilhelm;1701-10-08
braunschweig-wolfenbuettel_sophia_amalia;1701-10-08
braunschweig-wolfenbuettel_henriette_christine;1701-10-08
schwarzburg-sondershausen_auguste_dorothea;1701-10-08
braunschweig-wolfenbuettel_christine_luise;1701-10-08
schleswig-holstein-sonderburg-norburg_ernst_leopold;1701-10-08
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-10-08
braunschweig-wolfenbuettel-bevern_ferdinand_christian;1701-10-08
schleswig-holstein-sonderburg-wiesenburg_johanna_magdalena_louisa;1701-10-08
usson_jean;1701-10-08
niekamp_johann;1701-10-08
braunschweig-wolfenbuettel_anton_ulrich;1701-10-08
braunschweig-wolfenbuettel_antoinette_amalia;1701-10-08
braunschweig-wolfenbuettel_rudolph_august;1701-10-08
braunschweig-wolfenbuettel_elisabeth_sophia_maria;1701-10-08
schleswig-holstein-sonderburg-ploen_adolf_august;1701-10-08
bennigsen_levin_adolf;1701-10-09
niekamp_johann;1701-10-09
matthaeus_heiliger;1701-10-09
braunschweig-wolfenbuettel_rudolph_august;1701-10-09
braunschweig-wolfenbuettel_elisabeth_sophia_maria;1701-10-09
schleswig-holstein-sonderburg-ploen_adolf_august;1701-10-11
braunschweig-wolfenbuettel_elisabeth_sophia_maria;1701-10-11
braunschweig-wolfenbuettel-bevern_sophia_eleonora;1701-10-12
usson_jean;1701-10-12
braunschweig-wolfenbuettel_august_wilhelm;1701-10-13
