source,target,edgetype
https://d-nb.info/gnd/12315023X,https://d-nb.info/gnd/119157411,Elternteil von
https://d-nb.info/gnd/119157411,https://d-nb.info/gnd/122035143,Elternteil von
https://d-nb.info/gnd/119157411,https://d-nb.info/gnd/104207205,Elternteil von
https://d-nb.info/gnd/119157411,https://d-nb.info/gnd/141678615,Elternteil von
http://d-nb.info/gnd/104183772,https://d-nb.info/gnd/118503472,verheiratet mit
http://d-nb.info/gnd/104183772,https://d-nb.info/gnd/104308753,Elternteil von
https://d-nb.info/gnd/11883732X,https://d-nb.info/gnd/102705224,Elternteil von
https://d-nb.info/gnd/121402355,https://d-nb.info/gnd/102705224,Elternteil von
https://d-nb.info/gnd/102705224,https://d-nb.info/gnd/141678615,verheiratet mit
https://d-nb.info/gnd/102705224,https://d-nb.info/gnd/10044220X,Elternteil von
https://d-nb.info/gnd/102705224,https://d-nb.info/gnd/119120674,Elternteil von
https://d-nb.info/gnd/102705224,https://d-nb.info/gnd/120998785,Elternteil von
https://d-nb.info/gnd/102705224,https://d-nb.info/gnd/104201401,Elternteil von
https://d-nb.info/gnd/102705224,https://d-nb.info/gnd/10110569X,Elternteil von
https://d-nb.info/gnd/118503472,https://d-nb.info/gnd/1034906267,Elternteil von
https://d-nb.info/gnd/104183772,https://d-nb.info/gnd/1034906267,Elternteil von
https://d-nb.info/gnd/124700470,https://d-nb.info/gnd/122035143,Elternteil von
https://d-nb.info/gnd/124700470,https://d-nb.info/gnd/104207205,Elternteil von
https://d-nb.info/gnd/124700470,https://d-nb.info/gnd/141678615,Elternteil von
http://d-nb.info/gnd/10431205X,https://d-nb.info/gnd/119502992,verheiratet mit
https://d-nb.info/gnd/121402355,https://d-nb.info/gnd/11883732X,verheiratet mit
https://d-nb.info/gnd/121402355,https://d-nb.info/gnd/123384648,Elternteil von
https://d-nb.info/gnd/121402355,https://d-nb.info/gnd/101263503,Elternteil von
https://d-nb.info/gnd/121402355,https://d-nb.info/gnd/102705224,Elternteil von
https://d-nb.info/gnd/121402355,https://d-nb.info/gnd/123384656,Elternteil von
https://d-nb.info/gnd/11883732X,https://d-nb.info/gnd/123384656,Elternteil von
https://d-nb.info/gnd/121402355,https://d-nb.info/gnd/123384656,Elternteil von
https://d-nb.info/gnd/123384656,https://d-nb.info/gnd/137259395,verheiratet mit
https://d-nb.info/gnd/123384656,https://d-nb.info/gnd/143935631,Elternteil von
