id;label
https://d-nb.info/gnd/101052677;Ernst August I., Hannover, Kurfürst
http://d-nb.info/gnd/120667886;Braunschweig-Lüneburg, Friedrich Ludwig, Herzog von
https://d-nb.info/gnd/118538543;Georg II., Großbritannien, König
https://d-nb.info/gnd/118716913;Georg III., Großbritannien, König
http://d-nb.info/gnd/118538535;Großbritannien und Irland, Georg I., König von
https://d-nb.info/gnd/101052677;Ernst August I., Hannover, Kurfürst
https://d-nb.info/gnd/118751522;Sophie, Hannover, Kurfürstin
https://d-nb.info/gnd/118615661;Sophie Dorothea, Hannover, Kurprinzessin
https://d-nb.info/gnd/118538543;Georg II., Großbritannien, König
https://d-nb.info/gnd/118798022;Sophie Dorothea, Preußen, Königin
http://d-nb.info/gnd/118538543;Großbritannien und Irland, Georg II. August, König von
https://d-nb.info/gnd/118538535;Georg I., Großbritannien, König
https://d-nb.info/gnd/118615661;Sophie Dorothea, Hannover, Kurprinzessin
https://d-nb.info/gnd/11887036X;Karoline, Großbritannien, Königin, 1683-1737
https://d-nb.info/gnd/120667886;Friedrich Ludwig, Wales, Prinz
https://d-nb.info/gnd/130253219;Wallmoden-Gimborn, Johann Ludwig von
https://d-nb.info/gnd/101335740X;Maria, Hessen-Kassel, Landgräfin
https://d-nb.info/gnd/133943127;Louise, Dänemark, Königin
http://d-nb.info/gnd/119200767;Braunschweig-Lüneburg, Georg Wilhelm, Herzog von
https://d-nb.info/gnd/119137356;Georg, Braunschweig-Lüneburg, Herzog
https://d-nb.info/gnd/119200775;Eleonore, Braunschweig-Lüneburg, Herzogin
https://d-nb.info/gnd/118615661;Sophie Dorothea, Hannover, Kurprinzessin
http://d-nb.info/gnd/118751522;Sophie, Kurfürstin von Braunschweig-Lüneburg, geb. Pfalzgräfin bei Rhein
https://d-nb.info/gnd/101052677;Ernst August I., Hannover, Kurfürst
https://d-nb.info/gnd/118751530;Sophie Charlotte, Preußen, Königin
https://d-nb.info/gnd/118538535;Georg I., Großbritannien, König
https://d-nb.info/gnd/141678615;Braunschweig-Wolfenbüttel, Antoinette Amalia, Herzogin von, geb. Herzogin von Braunschweig-Wolfenbüttel.
https://d-nb.info/gnd/124700470;Ludwig Rudolf, Braunschweig-Lüneburg, Herzog
https://d-nb.info/gnd/119157411;Christine Luise, Braunschweig-Lüneburg, Herzogin
https://d-nb.info/gnd/102705224;Ferdinand Albrecht, Braunschweig-Lüneburg, Herzog
https://d-nb.info/gnd/118503472;Braunschweig-Wolfenbüttel, Anton Ulrich, Herzog von
https://d-nb.info/gnd/118505076;August, Braunschweig-Lüneburg, Herzog, 1579-1666
https://d-nb.info/gnd/104376546;Dorothea, Braunschweig-Lüneburg, Herzogin, 1607-1634
https://d-nb.info/gnd/104183772;Elisabeth Juliane, Braunschweig-Lüneburg, Herzogin
https://d-nb.info/gnd/104308753;August Friedrich, Braunschweig-Lüneburg, Herzog
http://d-nb.info/gnd/118505076;Braunschweig-Wolfenbüttel, August d. J., Herzog von
http://d-nb.info/gnd/119502992;Braunschweig-Wolfenbüttel, August Wilhelm, Herzog von
https://d-nb.info/gnd/104326433;Braunschweig-Wolfenbüttel, Christine Elisabeth, Herzogin von, geb. Gräfin von Barby und Mühlingen
https://d-nb.info/gnd/116678909;Rudolf August, Braunschweig-Lüneburg, Herzog
https://d-nb.info/gnd/119157411;Braunschweig-Wolfenbüttel, Christine Luise, Herzogin von, geb. Fürstin von Oettingen-Oettingen
https://d-nb.info/gnd/104196734;Albrecht Ernst I., Oettingen-Oettingen, Fürst
https://d-nb.info/gnd/12315023X;Christine Friederike, Oettingen-Oettingen, Fürstin
https://d-nb.info/gnd/122035143;Elisabeth Christine, Heiliges Römisches Reich, Kaiserin
https://d-nb.info/gnd/104207205;Charlotte Christine Sophie, Braunschweig-Wolfenbüttel, Prinzessin
https://d-nb.info/gnd/141678615;Antoinette Amalie, Braunschweig-Lüneburg, Herzogin
http://d-nb.info/gnd/104183772;Braunschweig-Wolfenbüttel, Elisabeth Juliane, Herzogin von, geb. Herzogin von Schleswig-Holstein-Norburg
https://d-nb.info/gnd/118503472;Anton Ulrich, Braunschweig-Lüneburg, Herzog
https://d-nb.info/gnd/104308753;August Friedrich, Braunschweig-Lüneburg, Herzog
https://d-nb.info/gnd/104277122;Braunschweig-Wolfenbüttel, Elisabeth Sophia Maria, Herzogin von, geb. Herzogin von Schleswig-Holstein-Norburg
https://d-nb.info/gnd/102705224;Braunschweig-Wolfenbüttel, Ferdinand Albrecht II., Herzog von
https://d-nb.info/gnd/11883732X;Ferdinand Albrecht, Braunschweig-Lüneburg, Herzog, 1636-1687
https://d-nb.info/gnd/121402355;Christina, Braunschweig-Lüneburg, Herzogin
https://d-nb.info/gnd/141678615;Antoinette Amalie, Braunschweig-Lüneburg, Herzogin
https://d-nb.info/gnd/10044220X;Karl I., Braunschweig-Lüneburg, Herzog
https://d-nb.info/gnd/119120674;Elisabeth Christine, Preußen, Königin
https://d-nb.info/gnd/120998785;Sophie Antoinette, Sachsen-Coburg-Saalfeld, Herzogin
https://d-nb.info/gnd/104201401;Luise Amalie, Preußen, Prinzessin
https://d-nb.info/gnd/10110569X;Juliane Marie, Dänemark, Königin
https://d-nb.info/gnd/1034906267;Braunschweig-Wolfenbüttel, Henriette Christine, Herzogin von
https://d-nb.info/gnd/118503472;Anton Ulrich, Braunschweig-Lüneburg, Herzog
https://d-nb.info/gnd/104183772;Elisabeth Juliane, Braunschweig-Lüneburg, Herzogin
https://d-nb.info/gnd/124700470;Braunschweig-Wolfenbüttel, Ludwig Rudolph, Herzog von
https://d-nb.info/gnd/122035143;Elisabeth Christine, Heiliges Römisches Reich, Kaiserin
https://d-nb.info/gnd/104207205;Charlotte Christine Sophie, Braunschweig-Wolfenbüttel, Prinzessin
https://d-nb.info/gnd/141678615;Antoinette Amalie, Braunschweig-Lüneburg, Herzogin
https://d-nb.info/gnd/116678909;Braunschweig-Wolfenbüttel, Rudolph August, Herzog von
http://d-nb.info/gnd/10431205X;Braunschweig-Wolfenbüttel, Sophia Amalia, Herzogin von, geb. Herzogin von Schleswig-Holstein-Gottorf
https://d-nb.info/gnd/119502992;August Wilhelm, Braunschweig-Lüneburg, Herzog, 1662-1731
https://d-nb.info/gnd/102308845;Braunschweig-Wolfenbüttel-Bevern, August Ferdinand, Herzog von
https://d-nb.info/gnd/121402355;Braunschweig-Wolfenbüttel-Bevern, Christine, Herzogin von, geb. Landgräfin von Hessen-Eschwege
https://d-nb.info/gnd/11883732X;Ferdinand Albrecht, Braunschweig-Lüneburg, Herzog, 1636-1687
https://d-nb.info/gnd/123384648;Ferdinand Christian, Braunschweig-Lüneburg, Herzog
https://d-nb.info/gnd/101263503;Sophia Eleonora, Braunschweig-Lüneburg, Herzogin
https://d-nb.info/gnd/102705224;Ferdinand Albrecht, Braunschweig-Lüneburg, Herzog
https://d-nb.info/gnd/123384656;Ernst Ferdinand, Braunschweig-Lüneburg, Herzog
https://d-nb.info/gnd/123384656;Braunschweig-Wolfenbüttel-Bevern, Ernst Ferdinand, Herzog von
